,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
1063,33,A011RY2,    Residential,2004_Q1,0.11,0.2,0.24,0.27,-0.09,-0.13,-0.16,-0.04,0.09,0.13,0.04,0.13,0.27,0.16,0.03,2004,1,2004-01-01
1064,33,A011RY2,    Residential,2004_Q2,0.81,0.77,0.86,0.75,0.04,-0.05,0.06,-0.09,0.04,0.05,0.09,0.09,0.75,0.06,0.11,2004,4,2004-04-01
1065,33,A011RY2,    Residential,2004_Q3,0.18,0.1,0.09,0.17,0.08,0.09,0.01,0.01,0.08,0.09,0.01,0.09,0.17,0.01,0.08,2004,7,2004-07-01
1066,33,A011RY2,    Residential,2004_Q4,0.01,0.12,0.19,0.34,-0.11,-0.18,-0.33,-0.07,0.11,0.18,0.07,0.11,0.34,0.33,0.15,2004,10,2004-10-01
1067,33,A011RY2,    Residential,2005_Q1,0.32,0.49,0.64,0.6,-0.17,-0.32,-0.28,-0.15,0.17,0.32,0.15,0.15,0.6,0.28,0.04,2005,1,2005-01-01
1068,33,A011RY2,    Residential,2005_Q2,0.56,0.56,0.62,0.48,0.0,-0.06,0.08,-0.06,0.0,0.06,0.06,0.14,0.48,0.08,0.14,2005,4,2005-04-01
1069,33,A011RY2,    Residential,2005_Q3,0.28,0.5,0.43,0.29,-0.22,-0.15,-0.01,0.07,0.22,0.15,0.07,0.14,0.29,0.01,0.14,2005,7,2005-07-01
1070,33,A011RY2,    Residential,2005_Q4,0.21,0.16,0.17,-0.06,0.05,0.04,0.27,-0.01,0.05,0.04,0.01,0.13,0.06,0.27,0.23,2005,10,2005-10-01
1071,33,A011RY2,    Residential,2006_Q1,0.16,0.19,0.21,-0.25,-0.03,-0.05,0.41,-0.02,0.03,0.05,0.02,0.12,0.25,0.41,0.46,2006,1,2006-01-01
1072,33,A011RY2,    Residential,2006_Q2,-0.4,-0.63,-0.72,-1.33,0.23,0.32,0.93,0.09,0.23,0.32,0.09,0.15,1.33,0.93,0.61,2006,4,2006-04-01
1073,33,A011RY2,    Residential,2006_Q3,-1.12,-1.16,-1.2,-1.39,0.04,0.08,0.27,0.04,0.04,0.08,0.04,0.15,1.39,0.27,0.19,2006,7,2006-07-01
1074,33,A011RY2,    Residential,2006_Q4,-1.16,-1.16,-1.21,-1.09,0.0,0.05,-0.07,0.05,0.0,0.05,0.05,0.13,1.09,0.07,0.12,2006,10,2006-10-01
