,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
2568,A191RL1,Gross domestic product,Change in private inventories - Farm,2004_Q1,-0.04,-0.08,0.08,0.08,-0.04,0.04,0.04,1.0,2004,1,2004-01-01
2569,A191RL1,Gross domestic product,Change in private inventories - Nonfarm,2004_Q1,0.31,0.73,0.73,0.73,0.42,0.42,0.42,1.0,2004,1,2004-01-01
2570,A191RL1,Gross domestic product,Clothing and shoes,2004_Q1,0.4,0.4,0.4,0.4,0.0,0.0,0.0,1.0,2004,1,2004-01-01
2571,A191RL1,Gross domestic product,Computers and peripheral equipment,2004_Q1,0.12,0.08,0.08,0.08,-0.04,0.04,0.04,1.0,2004,1,2004-01-01
2572,A191RL1,Gross domestic product,Electricity and gas,2004_Q1,0.15,0.13,0.13,0.13,-0.02,0.02,0.02,1.0,2004,1,2004-01-01
2573,A191RL1,Gross domestic product,Exports - goods,2004_Q1,0.27,0.62,0.62,0.62,0.35,0.35,0.35,1.0,2004,1,2004-01-01
2574,A191RL1,Gross domestic product,Exports - services,2004_Q1,0.04,0.1,0.1,0.1,0.06,0.06,0.06,1.0,2004,1,2004-01-01
2575,A191RL1,Gross domestic product,Food,2004_Q1,0.77,0.82,0.82,0.82,0.05,0.05,0.05,1.0,2004,1,2004-01-01
2576,A191RL1,Gross domestic product,Furniture and household equipment,2004_Q1,0.29,0.31,0.31,0.31,0.02,0.02,0.02,1.0,2004,1,2004-01-01
2577,A191RL1,Gross domestic product,"Gasoline, fuel oil, and other energy goods",2004_Q1,-0.01,-0.07,0.07,0.07,-0.06,0.06,0.06,1.0,2004,1,2004-01-01
2578,A191RL1,Gross domestic product,Housing,2004_Q1,0.22,0.24,0.24,0.24,0.02,0.02,0.02,1.0,2004,1,2004-01-01
2579,A191RL1,Gross domestic product,Imports - goods,2004_Q1,-0.23,-1.39,1.39,1.39,-1.16,1.16,1.16,1.0,2004,1,2004-01-01
2580,A191RL1,Gross domestic product,Imports - services,2004_Q1,-0.05,-0.05,0.05,0.05,0.0,0.0,0.0,1.0,2004,1,2004-01-01
2581,A191RL1,Gross domestic product,Industrial equipment,2004_Q1,0.07,0.07,0.07,0.07,0.0,0.0,0.0,1.0,2004,1,2004-01-01
2582,A191RL1,Gross domestic product,Information processing equipment - other,2004_Q1,0.32,0.3,0.3,0.3,-0.02,0.02,0.02,1.0,2004,1,2004-01-01
2583,A191RL1,Gross domestic product,Medical care,2004_Q1,0.51,0.53,0.53,0.53,0.02,0.02,0.02,1.0,2004,1,2004-01-01
2584,A191RL1,Gross domestic product,Motor vehicles and parts,2004_Q1,-0.75,-0.7,0.7,0.7,0.05,0.05,0.05,1.0,2004,1,2004-01-01
2585,A191RL1,Gross domestic product,National defense - consumption expenditures,2004_Q1,0.34,0.26,0.26,0.26,-0.08,0.08,0.08,1.0,2004,1,2004-01-01
2586,A191RL1,Gross domestic product,National defense - gross investment,2004_Q1,0.31,0.32,0.32,0.32,0.01,0.01,0.01,1.0,2004,1,2004-01-01
2587,A191RL1,Gross domestic product,Nondefense - consumption expenditures,2004_Q1,0.04,-0.01,0.01,0.01,-0.05,0.05,0.05,1.0,2004,1,2004-01-01
2588,A191RL1,Gross domestic product,Nondefense - gross investment,2004_Q1,-0.03,0.0,0.0,0.0,0.03,0.03,0.03,1.0,2004,1,2004-01-01
2589,A191RL1,Gross domestic product,Other,2004_Q1,0.84,0.76,0.76,0.76,-0.08,0.08,0.26,1.0,2004,1,2004-01-01
2590,A191RL1,Gross domestic product,Other equipment,2004_Q1,0.15,0.14,0.14,0.14,-0.01,0.01,0.01,1.0,2004,1,2004-01-01
2591,A191RL1,Gross domestic product,Other household operation,2004_Q1,0.07,0.05,0.05,0.05,-0.02,0.02,0.02,1.0,2004,1,2004-01-01
2592,A191RL1,Gross domestic product,Recreation,2004_Q1,0.17,0.17,0.17,0.17,0.0,0.0,0.0,1.0,2004,1,2004-01-01
2593,A191RL1,Gross domestic product,Residential,2004_Q1,0.11,0.24,0.24,0.24,0.13,0.13,0.13,1.0,2004,1,2004-01-01
2594,A191RL1,Gross domestic product,Software \4\,2004_Q1,0.23,0.28,0.28,0.28,0.05,0.05,0.05,1.0,2004,1,2004-01-01
2595,A191RL1,Gross domestic product,State and local - consumption expenditures,2004_Q1,0.04,0.02,0.02,0.02,-0.02,0.02,0.02,1.0,2004,1,2004-01-01
2596,A191RL1,Gross domestic product,State and local - gross investment,2004_Q1,-0.33,-0.05,0.05,0.05,0.28,0.28,0.28,1.0,2004,1,2004-01-01
2597,A191RL1,Gross domestic product,Structures,2004_Q1,-0.15,-0.18,0.18,0.18,-0.03,0.03,0.03,1.0,2004,1,2004-01-01
2598,A191RL1,Gross domestic product,Transportation,2004_Q1,-0.01,-0.01,0.01,0.01,0.0,0.0,0.0,1.0,2004,1,2004-01-01
2599,A191RL1,Gross domestic product,Transportation equipment,2004_Q1,-0.01,-0.15,0.15,0.15,-0.14,0.14,0.14,1.0,2004,1,2004-01-01
2600,A191RL1,Gross domestic product,Change in private inventories - Farm,2004_Q2,-0.1,-0.1,0.1,0.1,0.0,0.0,0.0,1.0,2004,4,2004-04-01
2601,A191RL1,Gross domestic product,Change in private inventories - Nonfarm,2004_Q2,0.38,0.88,0.88,0.88,0.5,0.5,0.5,1.0,2004,4,2004-04-01
2602,A191RL1,Gross domestic product,Clothing and shoes,2004_Q2,-0.17,-0.15,0.15,0.15,0.02,0.02,0.02,1.0,2004,4,2004-04-01
2603,A191RL1,Gross domestic product,Computers and peripheral equipment,2004_Q2,0.22,0.22,0.22,0.22,0.0,0.0,0.0,1.0,2004,4,2004-04-01
