,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,abs_adv,abs_second,abs_third,abs_current,second_less_adv,third_less_adv,current_less_adv,third_less_second,abs_second_less_adv,abs_third_less_adv,abs_third_less_second,abs_two_year,abs_current_less_adv,abs_current_less_third,year,month,date_t
1938,51,A798RY2,      Gross investment,2004_Q1,-0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.03,0.03,0.0,2004,1,2004-01-01
1939,51,A798RY2,      Gross investment,2004_Q2,0.12,0.12,0.11,0.04,0.12,0.12,0.11,0.04,0.0,-0.01,-0.08,-0.01,0.0,0.01,0.01,0.02,0.08,0.07,2004,4,2004-04-01
1940,51,A798RY2,      Gross investment,2004_Q3,-0.08,-0.08,-0.07,-0.01,0.08,0.08,0.07,0.01,0.0,0.01,0.07,0.01,0.0,0.01,0.01,0.0167,0.07,0.06,2004,7,2004-07-01
1941,51,A798RY2,      Gross investment,2004_Q4,0.02,0.04,0.03,0.01,0.02,0.04,0.03,0.01,0.02,0.01,-0.01,-0.01,0.02,0.01,0.01,0.015,0.01,0.02,2004,10,2004-10-01
1942,51,A798RY2,      Gross investment,2005_Q1,-0.01,-0.02,-0.01,-0.01,0.01,0.02,0.01,0.01,-0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.012,0.0,0.0,2005,1,2005-01-01
1943,51,A798RY2,      Gross investment,2005_Q2,0.07,0.08,0.08,-0.01,0.07,0.08,0.08,0.01,0.01,0.01,-0.08,0.0,0.01,0.01,0.0,0.0117,0.08,0.09,2005,4,2005-04-01
1944,51,A798RY2,      Gross investment,2005_Q3,-0.02,-0.03,-0.02,0.07,0.02,0.03,0.02,0.07,-0.01,0.0,0.09,0.01,0.01,0.0,0.01,0.01,0.09,0.09,2005,7,2005-07-01
1945,51,A798RY2,      Gross investment,2005_Q4,0.1,0.13,0.12,0.01,0.1,0.13,0.12,0.01,0.03,0.02,-0.09,-0.01,0.03,0.02,0.01,0.0113,0.09,0.11,2005,10,2005-10-01
1946,51,A798RY2,      Gross investment,2006_Q1,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0075,0.05,0.05,2006,1,2006-01-01
1947,51,A798RY2,      Gross investment,2006_Q2,-0.09,-0.13,-0.12,-0.05,0.09,0.13,0.12,0.05,-0.04,-0.03,0.04,0.01,0.04,0.03,0.01,0.01,0.04,0.07,2006,4,2006-04-01
1948,51,A798RY2,      Gross investment,2006_Q3,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,2006,7,2006-07-01
1949,51,A798RY2,      Gross investment,2006_Q4,-0.05,-0.05,-0.04,0.01,0.05,0.05,0.04,0.01,0.0,0.01,0.06,0.01,0.0,0.01,0.01,0.01,0.06,0.05,2006,10,2006-10-01
1950,51,A798RY2,      Gross investment,2007_Q1,-0.01,-0.03,-0.03,-0.01,0.01,0.03,0.03,0.01,-0.02,-0.02,0.0,0.0,0.02,0.02,0.0,0.0125,0.0,0.02,2007,1,2007-01-01
1951,51,A798RY2,      Gross investment,2007_Q2,0.02,0.03,0.04,0.03,0.02,0.03,0.04,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.0138,0.01,0.01,2007,4,2007-04-01
1952,51,A798RY2,      Gross investment,2007_Q3,-0.01,-0.01,-0.01,0.03,0.01,0.01,0.01,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0138,0.04,0.04,2007,7,2007-07-01
1953,51,A798RY2,      Gross investment,2007_Q4,0.01,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.0,-0.01,0.02,0.01,0.01,0.0125,0.0,0.01,2007,10,2007-10-01
1954,51,A798RY2,      Gross investment,2008_Q1,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0138,0.01,0.0,2008,1,2008-01-01
1955,51,A798RY2,      Gross investment,2008_Q2,0.04,0.05,0.03,0.05,0.04,0.05,0.03,0.05,0.01,-0.01,0.01,-0.02,0.01,0.01,0.02,0.0113,0.01,0.02,2008,4,2008-04-01
1956,51,A798RY2,      Gross investment,2008_Q3,0.0,-0.01,0.0,0.04,0.0,0.01,0.0,0.04,-0.01,0.0,0.04,0.01,0.01,0.0,0.01,0.01,0.04,0.04,2008,7,2008-07-01
1957,51,A798RY2,      Gross investment,2008_Q4,0.15,0.13,0.14,0.04,0.15,0.13,0.14,0.04,-0.02,-0.01,-0.11,0.01,0.02,0.01,0.01,0.01,0.11,0.1,2008,10,2008-10-01
1958,51,A798RY2,      Gross investment,2009_Q1,-0.09,-0.1,-0.11,0.01,0.09,0.1,0.11,0.01,-0.01,-0.02,0.1,-0.01,0.01,0.02,0.01,0.01,0.1,0.12,2009,1,2009-01-01
2157,56,A798RY2,      Gross investment,2009_Q2,0.0,0.0,0.03,0.01,0.0,0.0,0.03,0.01,0.0,0.03,0.01,0.03,0.0,0.03,0.03,0.0113,0.01,0.02,2009,4,2009-04-01
2158,56,A798RY2,      Gross investment,2009_Q3,0.02,0.05,0.04,0.07,0.02,0.05,0.04,0.07,0.03,0.02,0.05,-0.01,0.03,0.02,0.01,0.0138,0.05,0.03,2009,7,2009-07-01
2159,56,A798RY2,      Gross investment,2009_Q4,-0.01,0.03,0.02,0.06,0.01,0.03,0.02,0.06,0.04,0.03,0.07,-0.01,0.04,0.03,0.01,0.0162,0.07,0.04,2009,10,2009-10-01
2160,56,A798RY2,      Gross investment,2010_Q1,0.01,-0.02,-0.01,0.09,0.01,0.02,0.01,0.09,-0.03,-0.02,0.08,0.01,0.03,0.02,0.01,0.0175,0.08,0.1,2010,1,2010-01-01
2161,56,A798RY2,      Gross investment,2010_Q2,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.09,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0162,0.04,0.04,2010,4,2010-04-01
2162,56,A798RY2,      Gross investment,2010_Q3,0.06,0.06,0.06,0.02,0.06,0.06,0.06,0.02,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0162,0.04,0.04,2010,7,2010-07-01
2163,56,A798RY2,      Gross investment,2010_Q4,0.06,0.03,0.04,0.01,0.06,0.03,0.04,0.01,-0.03,-0.02,-0.05,0.01,0.03,0.02,0.01,0.0175,0.05,0.03,2010,10,2010-10-01
2164,56,A798RY2,      Gross investment,2011_Q1,0.0,0.0,-0.02,0.02,0.0,0.0,0.02,0.02,0.0,-0.02,0.02,-0.02,0.0,0.02,0.02,0.0175,0.02,0.04,2011,1,2011-01-01
2165,56,A798RY2,      Gross investment,2011_Q2,-0.02,-0.01,-0.02,-0.04,0.02,0.01,0.02,0.04,0.01,0.0,-0.02,-0.01,0.01,0.0,0.01,0.0137,0.02,0.02,2011,4,2011-04-01
2166,56,A798RY2,      Gross investment,2011_Q3,0.01,0.01,0.01,-0.03,0.01,0.01,0.01,0.03,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0112,0.04,0.04,2011,7,2011-07-01
2167,56,A798RY2,      Gross investment,2011_Q4,-0.04,-0.04,-0.02,-0.03,0.04,0.04,0.02,0.03,0.0,0.02,0.01,0.02,0.0,0.02,0.02,0.01,0.01,0.01,2011,10,2011-10-01
2168,56,A798RY2,      Gross investment,2012_Q1,0.0,0.0,-0.01,-0.01,0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,-0.01,0.0,0.01,0.01,0.0087,0.01,0.0,2012,1,2012-01-01
2169,56,A798RY2,      Gross investment,2012_Q2,0.01,-0.01,0.0,-0.01,0.01,0.01,0.0,0.01,-0.02,-0.01,-0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,2012,4,2012-04-01
2170,56,A798RY2,      Gross investment,2012_Q3,0.0,-0.01,-0.02,-0.03,0.0,0.01,0.02,0.03,-0.01,-0.02,-0.03,-0.01,0.01,0.02,0.01,0.0125,0.03,0.01,2012,7,2012-07-01
2171,56,A798RY2,      Gross investment,2012_Q4,0.01,0.03,0.02,-0.01,0.01,0.03,0.02,0.01,0.02,0.01,-0.02,-0.01,0.02,0.01,0.01,0.0112,0.02,0.03,2012,10,2012-10-01
2172,56,A798RY2,      Gross investment,2013_Q1,-0.02,-0.01,-0.04,-0.08,0.02,0.01,0.04,0.08,0.01,-0.02,-0.06,-0.03,0.01,0.02,0.03,0.0112,0.06,0.04,2013,1,2013-01-01
2227,59,A798RY2,      Gross investment,2013_Q2,-0.01,-0.01,-0.02,-0.04,0.01,0.01,0.02,0.04,0.0,-0.01,-0.03,-0.01,0.0,0.01,0.01,0.0125,0.03,0.02,2013,4,2013-04-01
2228,59,A798RY2,      Gross investment,2013_Q3,-0.01,0.0,0.0,-0.02,0.01,0.0,0.0,0.02,0.01,0.01,-0.01,0.0,0.01,0.01,0.0,0.0137,0.01,0.02,2013,7,2013-07-01
2229,59,A798RY2,      Gross investment,2013_Q4,-0.04,-0.02,-0.03,-0.03,0.04,0.02,0.03,0.03,0.02,0.01,0.01,-0.01,0.02,0.01,0.01,0.0125,0.01,0.0,2013,10,2013-10-01
2230,59,A798RY2,      Gross investment,2014_Q1,-0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,2014,1,2014-01-01
2231,59,A798RY2,      Gross investment,2014_Q2,-0.03,-0.03,-0.03,-0.01,0.03,0.03,0.03,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.02,2014,4,2014-04-01
2232,59,A798RY2,      Gross investment,2014_Q3,-0.01,-0.01,-0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0075,0.01,0.01,2014,7,2014-07-01
2233,59,A798RY2,      Gross investment,2014_Q4,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.0,-0.01,0.0,-0.01,0.0,0.01,0.01,0.0075,0.0,0.01,2014,10,2014-10-01
2234,59,A798RY2,      Gross investment,2015_Q1,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.02,-0.02,-0.02,0.0,0.02,0.02,0.0,0.0075,0.02,0.0,2015,1,2015-01-01
2235,59,A798RY2,      Gross investment,2015_Q2,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.03,-0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0062,0.0,0.0,2015,4,2015-04-01
2236,59,A798RY2,      Gross investment,2015_Q3,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.01,-0.02,-0.02,-0.02,0.0,0.02,0.02,0.0,0.0075,0.02,0.0,2015,7,2015-07-01
2237,59,A798RY2,      Gross investment,2015_Q4,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02,-0.02,-0.02,-0.02,0.0,0.02,0.02,0.0,0.0087,0.02,0.0,2015,10,2015-10-01
