,bea_code,category,date,ADVANCE,THIRD,abs_third,third_less_adv,abs_third_less_adv,line,year,month,date_t
401,B018RY2,Farm - B018RY2,2004_Q1,-0.04,-0.08,0.08,-0.04,0.04,43,2004,1,2004-01-01
402,B018RY2,Farm - B018RY2,2004_Q2,-0.1,-0.1,0.1,0.0,0.0,43,2004,4,2004-04-01
403,B018RY2,Farm - B018RY2,2004_Q3,-0.07,0.07,0.07,0.14,0.14,43,2004,7,2004-07-01
404,B018RY2,Farm - B018RY2,2004_Q4,-0.03,-0.08,0.08,-0.05,0.05,43,2004,10,2004-10-01
405,B018RY2,Farm - B018RY2,2005_Q1,-0.11,-0.09,0.09,0.02,0.02,43,2005,1,2005-01-01
406,B018RY2,Farm - B018RY2,2005_Q2,-0.07,-0.09,0.09,-0.02,0.02,43,2005,4,2005-04-01
407,B018RY2,Farm - B018RY2,2005_Q3,-0.08,-0.02,0.02,0.06,0.06,43,2005,7,2005-07-01
408,B018RY2,Farm - B018RY2,2005_Q4,0.02,0.02,0.02,0.0,0.0,43,2005,10,2005-10-01
409,B018RY2,Farm - B018RY2,2006_Q1,0.04,-0.02,0.02,-0.06,0.06,43,2006,1,2006-01-01
410,B018RY2,Farm - B018RY2,2006_Q2,0.0,-0.09,0.09,-0.09,0.09,43,2006,4,2006-04-01
411,B018RY2,Farm - B018RY2,2006_Q3,-0.01,0.02,0.02,0.03,0.03,43,2006,7,2006-07-01
412,B018RY2,Farm - B018RY2,2006_Q4,-0.02,-0.01,0.01,0.01,0.01,43,2006,10,2006-10-01
413,B018RY2,Farm - B018RY2,2007_Q1,0.02,0.01,0.01,-0.01,0.01,43,2007,1,2007-01-01
414,B018RY2,Farm - B018RY2,2007_Q2,-0.02,-0.05,0.05,-0.03,0.03,43,2007,4,2007-04-01
415,B018RY2,Farm - B018RY2,2007_Q3,-0.04,0.01,0.01,0.05,0.05,43,2007,7,2007-07-01
416,B018RY2,Farm - B018RY2,2007_Q4,-0.08,-0.09,0.09,-0.01,0.01,43,2007,10,2007-10-01
417,B018RY2,Farm - B018RY2,2008_Q1,-0.13,-0.14,0.14,-0.01,0.01,43,2008,1,2008-01-01
418,B018RY2,Farm - B018RY2,2008_Q2,-0.18,-0.14,0.14,0.04,0.04,43,2008,4,2008-04-01
419,B018RY2,Farm - B018RY2,2008_Q3,-0.09,0.01,0.01,0.1,0.1,43,2008,7,2008-07-01
420,B018RY2,Farm - B018RY2,2008_Q4,-0.01,0.06,0.06,0.07,0.07,43,2008,10,2008-10-01
421,B018RY2,Farm - B018RY2,2009_Q1,0.05,0.05,0.05,0.0,0.0,43,2009,1,2009-01-01
422,B018RY2,Farm - B018RY2,2009_Q2,0.07,0.05,0.05,-0.02,0.02,43,2009,4,2009-04-01
423,B018RY2,Farm - B018RY2,2009_Q3,0.03,-0.01,0.01,-0.04,0.04,43,2009,7,2009-07-01
424,B018RY2,Farm - B018RY2,2009_Q4,-0.22,-0.22,0.22,0.0,0.0,43,2009,10,2009-10-01
425,B018RY2,Farm - B018RY2,2010_Q1,0.06,0.06,0.06,0.0,0.0,43,2010,1,2010-01-01
426,B018RY2,Farm - B018RY2,2010_Q2,0.09,0.02,0.02,-0.07,0.07,43,2010,4,2010-04-01
427,B018RY2,Farm - B018RY2,2010_Q3,-0.07,-0.09,0.09,-0.02,0.02,43,2010,7,2010-07-01
428,B018RY2,Farm - B018RY2,2010_Q4,-0.06,-0.15,0.15,-0.09,0.09,43,2010,10,2010-10-01
429,B018RY2,Farm - B018RY2,2011_Q1,-0.07,-0.09,0.09,-0.02,0.02,43,2011,1,2011-01-01
430,B018RY2,Farm - B018RY2,2011_Q2,-0.01,-0.02,0.02,-0.01,0.01,43,2011,4,2011-04-01
431,B018RY2,Farm - B018RY2,2011_Q3,-0.07,0.11,0.11,0.18,0.18,43,2011,7,2011-07-01
432,B018RY2,Farm - B018RY2,2011_Q4,0.04,0.01,0.01,-0.03,0.03,43,2011,10,2011-10-01
433,B018RY2,Farm - B018RY2,2012_Q1,0.0,-0.03,0.03,-0.03,0.03,43,2012,1,2012-01-01
