,line,code,description,date,ADVANCE,SECOND,THIRD,adv_less_second,adv_less_third,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,current,abs_adv_less_current,abs_third_less_current
6,28,B985RY2,        Software \4\,2004_Q1,0.23,0.28,0.28,-0.05000000000000002,-0.05000000000000002,0.0,0.05000000000000002,0.05000000000000002,0.0,0.05000000000000002,0.08,0.15000000000000002,0.2
39,28,B985RY2,        Software \4\,2004_Q2,0.13,0.12,0.13,0.010000000000000009,0.0,-0.010000000000000009,0.010000000000000009,0.0,0.010000000000000009,0.02500000000000001,0.04,0.09,0.09
72,28,B985RY2,        Software \4\,2004_Q3,0.06,0.11,0.1,-0.05,-0.04000000000000001,0.009999999999999995,0.05,0.04000000000000001,0.009999999999999995,0.03000000000000001,0.2,0.14,0.1
105,28,B985RY2,        Software \4\,2004_Q4,0.29,0.29,0.3,0.0,-0.010000000000000009,-0.010000000000000009,0.0,0.010000000000000009,0.010000000000000009,0.02500000000000001,0.19,0.09999999999999998,0.10999999999999999
138,28,B985RY2,        Software \4\,2005_Q1,0.28,0.2,0.22,0.08000000000000002,0.060000000000000026,-0.01999999999999999,0.08000000000000002,0.060000000000000026,0.01999999999999999,0.032000000000000015,0.03,0.25,0.19
171,28,B985RY2,        Software \4\,2005_Q2,0.12,0.26,0.29,-0.14,-0.16999999999999998,-0.02999999999999997,0.14,0.16999999999999998,0.02999999999999997,0.055000000000000014,0.16,0.04000000000000001,0.12999999999999998
204,28,B985RY2,        Software \4\,2005_Q3,0.19,0.2,0.14,-0.010000000000000009,0.04999999999999999,0.06,0.010000000000000009,0.04999999999999999,0.06,0.05428571428571429,0.04,0.15,0.1
237,28,B985RY2,        Software \4\,2005_Q4,0.13,0.17,0.09,-0.04000000000000001,0.04000000000000001,0.08000000000000002,0.04000000000000001,0.04000000000000001,0.08000000000000002,0.052500000000000005,0.01,0.12000000000000001,0.08
270,28,B985RY2,        Software \4\,2006_Q1,0.08,0.1,0.14,-0.020000000000000004,-0.06000000000000001,-0.04000000000000001,0.020000000000000004,0.06000000000000001,0.04000000000000001,0.053750000000000006,0.07,0.009999999999999995,0.07
303,28,B985RY2,        Software \4\,2006_Q2,0.04,0.05,0.07,-0.010000000000000002,-0.030000000000000006,-0.020000000000000004,0.010000000000000002,0.030000000000000006,0.020000000000000004,0.05750000000000001,0.07,0.030000000000000006,0.0
336,28,B985RY2,        Software \4\,2006_Q3,0.08,0.05,0.09,0.03,-0.009999999999999995,-0.039999999999999994,0.03,0.009999999999999995,0.039999999999999994,0.053750000000000006,0.1,0.020000000000000004,0.010000000000000009
369,28,B985RY2,        Software \4\,2006_Q4,0.14,0.13,0.05,0.010000000000000009,0.09000000000000001,0.08,0.010000000000000009,0.09000000000000001,0.08,0.06375,0.12,0.020000000000000018,0.06999999999999999
402,28,B985RY2,        Software \4\,2007_Q1,0.1,0.16,0.13,-0.06,-0.03,0.03,0.06,0.03,0.03,0.06,0.16,0.06,0.03
435,28,B985RY2,        Software \4\,2007_Q2,0.09,0.15,0.16,-0.06,-0.07,-0.010000000000000009,0.06,0.07,0.010000000000000009,0.04750000000000001,0.02,0.06999999999999999,0.14
468,28,B985RY2,        Software \4\,2007_Q3,0.11,0.14,0.07,-0.030000000000000013,0.039999999999999994,0.07,0.030000000000000013,0.039999999999999994,0.07,0.046250000000000006,0.07,0.039999999999999994,0.0
501,28,B985RY2,        Software \4\,2007_Q4,0.14,0.16,0.18,-0.01999999999999999,-0.03999999999999998,-0.01999999999999999,0.01999999999999999,0.03999999999999998,0.01999999999999999,0.04625,0.1,0.04000000000000001,0.07999999999999999
