,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
882,28,B985RY2,        Software \4\,2004_Q1,0.23,0.28,0.28,0.08,-0.05,-0.05,0.15,0.0,0.05,0.05,0.0,0.05,0.08,0.15,0.2,2004,1,2004-01-01
883,28,B985RY2,        Software \4\,2004_Q2,0.13,0.12,0.13,0.04,0.01,0.0,0.09,-0.01,0.01,0.0,0.01,0.02,0.04,0.09,0.09,2004,4,2004-04-01
884,28,B985RY2,        Software \4\,2004_Q3,0.06,0.11,0.1,0.2,-0.05,-0.04,-0.14,0.01,0.05,0.04,0.01,0.03,0.2,0.14,0.1,2004,7,2004-07-01
885,28,B985RY2,        Software \4\,2004_Q4,0.29,0.29,0.3,0.19,0.0,-0.01,0.1,-0.01,0.0,0.01,0.01,0.02,0.19,0.1,0.11,2004,10,2004-10-01
886,28,B985RY2,        Software \4\,2005_Q1,0.28,0.2,0.22,0.03,0.08,0.06,0.25,-0.02,0.08,0.06,0.02,0.03,0.03,0.25,0.19,2005,1,2005-01-01
887,28,B985RY2,        Software \4\,2005_Q2,0.12,0.26,0.29,0.16,-0.14,-0.17,-0.04,-0.03,0.14,0.17,0.03,0.05,0.16,0.04,0.13,2005,4,2005-04-01
888,28,B985RY2,        Software \4\,2005_Q3,0.19,0.2,0.14,0.04,-0.01,0.05,0.15,0.06,0.01,0.05,0.06,0.05,0.04,0.15,0.1,2005,7,2005-07-01
889,28,B985RY2,        Software \4\,2005_Q4,0.13,0.17,0.09,0.01,-0.04,0.04,0.12,0.08,0.04,0.04,0.08,0.05,0.01,0.12,0.08,2005,10,2005-10-01
890,28,B985RY2,        Software \4\,2006_Q1,0.08,0.1,0.14,0.07,-0.02,-0.06,0.01,-0.04,0.02,0.06,0.04,0.05,0.07,0.01,0.07,2006,1,2006-01-01
891,28,B985RY2,        Software \4\,2006_Q2,0.04,0.05,0.07,0.07,-0.01,-0.03,-0.03,-0.02,0.01,0.03,0.02,0.06,0.07,0.03,0.0,2006,4,2006-04-01
892,28,B985RY2,        Software \4\,2006_Q3,0.08,0.05,0.09,0.1,0.03,-0.01,-0.02,-0.04,0.03,0.01,0.04,0.05,0.1,0.02,0.01,2006,7,2006-07-01
893,28,B985RY2,        Software \4\,2006_Q4,0.14,0.13,0.05,0.12,0.01,0.09,0.02,0.08,0.01,0.09,0.08,0.06,0.12,0.02,0.07,2006,10,2006-10-01
894,28,B985RY2,        Software \4\,2007_Q1,0.1,0.16,0.13,0.16,-0.06,-0.03,-0.06,0.03,0.06,0.03,0.03,0.06,0.16,0.06,0.03,2007,1,2007-01-01
895,28,B985RY2,        Software \4\,2007_Q2,0.09,0.15,0.16,0.02,-0.06,-0.07,0.07,-0.01,0.06,0.07,0.01,0.05,0.02,0.07,0.14,2007,4,2007-04-01
896,28,B985RY2,        Software \4\,2007_Q3,0.11,0.14,0.07,0.07,-0.03,0.04,0.04,0.07,0.03,0.04,0.07,0.05,0.07,0.04,0.0,2007,7,2007-07-01
897,28,B985RY2,        Software \4\,2007_Q4,0.14,0.16,0.18,0.1,-0.02,-0.04,0.04,-0.02,0.02,0.04,0.02,0.05,0.1,0.04,0.08,2007,10,2007-10-01
898,28,B985RY2,        Software \4\,2008_Q1,0.13,0.1,0.17,0.21,0.03,-0.04,-0.08,-0.07,0.03,0.04,0.07,0.04,0.21,0.08,0.04,2008,1,2008-01-01
899,28,B985RY2,        Software \4\,2008_Q2,0.08,0.17,0.04,0.03,-0.09,0.04,0.05,0.13,0.09,0.04,0.13,0.04,0.03,0.05,0.01,2008,4,2008-04-01
900,28,B985RY2,        Software \4\,2008_Q3,0.06,0.03,-0.08,0.02,0.03,0.14,0.04,0.11,0.03,0.14,0.11,0.06,0.02,0.04,0.1,2008,7,2008-07-01
901,28,B985RY2,        Software \4\,2008_Q4,-0.15,-0.29,-0.23,-0.09,0.14,0.08,-0.06,-0.06,0.14,0.08,0.06,0.06,0.09,0.06,0.14,2008,10,2008-10-01
902,28,B985RY2,        Software \4\,2009_Q1,-0.28,-0.35,-0.38,-0.04,0.07,0.1,-0.24,0.03,0.07,0.1,0.03,0.07,0.04,0.24,0.34,2009,1,2009-01-01
1095,33,B985RY2,        Software \4\,2009_Q2,-0.22,-0.21,0.02,0.07,-0.01,-0.24,-0.29,-0.23,0.01,0.24,0.23,0.09,0.07,0.29,0.05,2009,4,2009-04-01
1096,33,B985RY2,        Software \4\,2009_Q3,0.15,0.2,0.09,0.07,-0.05,0.06,0.08,0.11,0.05,0.06,0.11,0.09,0.07,0.08,0.02,2009,7,2009-07-01
1097,33,B985RY2,        Software \4\,2009_Q4,0.08,0.35,0.35,0.1,-0.27,-0.27,-0.02,0.0,0.27,0.27,0.0,0.12,0.1,0.02,0.25,2009,10,2009-10-01
