,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
192,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2009_Q2,-0.16,-0.2,0.2,0.2,-0.04,0.04,0.04,11.0,2009,4,2009-04-01
193,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2009_Q3,-0.03,-0.01,0.01,0.01,0.02,0.02,0.02,11.0,2009,7,2009-07-01
194,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2009_Q4,0.17,0.17,0.17,0.17,0.0,0.0,0.0,11.0,2009,10,2009-10-01
195,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2010_Q1,0.23,0.26,0.26,0.26,0.03,0.03,0.03,11.0,2010,1,2010-01-01
196,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2010_Q2,0.15,0.14,0.14,0.14,-0.01,0.01,0.01,11.0,2010,4,2010-04-01
197,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2010_Q3,-0.03,-0.03,0.03,0.03,0.0,0.0,0.0,11.0,2010,7,2010-07-01
198,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2010_Q4,0.31,0.27,0.27,0.27,-0.04,0.04,0.04,11.0,2010,10,2010-10-01
199,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2011_Q1,0.12,0.06,0.06,0.06,-0.06,0.06,0.06,11.0,2011,1,2011-01-01
200,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2011_Q2,0.03,0.05,0.05,0.05,0.02,0.02,0.02,11.0,2011,4,2011-04-01
201,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2011_Q3,-0.2,-0.19,0.19,0.19,0.01,0.01,0.01,11.0,2011,7,2011-07-01
202,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2011_Q4,0.07,0.08,0.08,0.08,0.01,0.01,0.01,11.0,2011,10,2011-10-01
203,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2012_Q1,0.15,0.13,0.13,0.13,-0.02,0.02,0.02,11.0,2012,1,2012-01-01
204,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2012_Q2,-0.13,-0.12,0.12,0.12,0.01,0.01,0.01,11.0,2012,4,2012-04-01
205,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2012_Q3,0.14,0.12,0.12,0.12,-0.02,0.02,0.02,11.0,2012,7,2012-07-01
206,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2012_Q4,-0.01,-0.04,0.04,0.04,-0.03,0.03,0.03,11.0,2012,10,2012-10-01
207,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2013_Q1,0.03,0.05,0.05,0.05,0.02,0.02,0.02,11.0,2013,1,2013-01-01
208,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2013_Q2,0.16,0.13,0.13,0.13,-0.03,0.03,0.03,11.0,2013,4,2013-04-01
209,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2013_Q3,-0.07,-0.09,0.09,0.09,-0.02,0.02,0.02,11.0,2013,7,2013-07-01
210,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2013_Q4,0.18,0.09,0.09,0.09,-0.09,0.09,0.09,11.0,2013,10,2013-10-01
211,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2014_Q1,-0.09,-0.09,0.09,0.09,0.0,0.0,0.0,11.0,2014,1,2014-01-01
212,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2014_Q2,0.14,0.12,0.12,0.12,-0.02,0.02,0.02,11.0,2014,4,2014-04-01
213,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2014_Q3,0.02,0.03,0.03,0.03,0.01,0.01,0.01,11.0,2014,7,2014-07-01
214,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2014_Q4,0.26,0.19,0.19,0.19,-0.07,0.07,0.07,11.0,2014,10,2014-10-01
215,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2015_Q1,-0.06,-0.04,0.04,0.04,0.02,0.02,0.02,11.0,2015,1,2015-01-01
216,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2015_Q2,0.11,0.14,0.14,0.14,0.03,0.03,0.03,11.0,2015,4,2015-04-01
217,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2015_Q3,0.05,0.03,0.03,0.03,-0.02,0.02,0.02,11.0,2015,7,2015-07-01
218,DCLORY2,Clothing and footwear - DCLORY2,Clothing and footwear,2015_Q4,0.04,0.0,0.0,0.0,-0.04,0.04,0.04,11.0,2015,10,2015-10-01
