,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
288,DDURRY2,Durable goods,Furniture and household equipment,2004_Q1,0.29,0.31,0.31,0.31,0.02,0.02,0.02,4.0,2004,1,2004-01-01
289,DDURRY2,Durable goods,Motor vehicles and parts,2004_Q1,-0.75,-0.7,0.7,0.7,0.05,0.05,0.05,4.0,2004,1,2004-01-01
290,DDURRY2,Durable goods,Other,2004_Q1,0.05,0.07,0.07,0.07,0.02,0.02,0.02,4.0,2004,1,2004-01-01
291,DDURRY2,Durable goods,Furniture and household equipment,2004_Q2,0.15,0.22,0.22,0.22,0.07,0.07,0.07,4.0,2004,4,2004-04-01
292,DDURRY2,Durable goods,Motor vehicles and parts,2004_Q2,-0.33,-0.24,0.24,0.24,0.09,0.09,0.09,4.0,2004,4,2004-04-01
293,DDURRY2,Durable goods,Other,2004_Q2,-0.03,0.0,0.0,0.0,0.03,0.03,0.03,4.0,2004,4,2004-04-01
294,DDURRY2,Durable goods,Furniture and household equipment,2004_Q3,0.3,0.33,0.33,0.33,0.03,0.03,0.03,4.0,2004,7,2004-07-01
295,DDURRY2,Durable goods,Motor vehicles and parts,2004_Q3,0.93,0.98,0.98,0.98,0.05,0.05,0.05,4.0,2004,7,2004-07-01
296,DDURRY2,Durable goods,Other,2004_Q3,0.11,0.06,0.06,0.06,-0.05,0.05,0.05,4.0,2004,7,2004-07-01
297,DDURRY2,Durable goods,Furniture and household equipment,2004_Q4,0.25,0.21,0.21,0.21,-0.04,0.04,0.04,4.0,2004,10,2004-10-01
298,DDURRY2,Durable goods,Motor vehicles and parts,2004_Q4,0.18,-0.02,0.02,0.02,-0.2,0.2,0.2,4.0,2004,10,2004-10-01
299,DDURRY2,Durable goods,Other,2004_Q4,0.13,0.13,0.13,0.13,0.0,0.0,0.0,4.0,2004,10,2004-10-01
300,DDURRY2,Durable goods,Furniture and household equipment,2005_Q1,0.31,0.32,0.32,0.32,0.01,0.01,0.01,4.0,2005,1,2005-01-01
301,DDURRY2,Durable goods,Motor vehicles and parts,2005_Q1,-0.42,-0.35,0.35,0.35,0.07,0.07,0.07,4.0,2005,1,2005-01-01
302,DDURRY2,Durable goods,Other,2005_Q1,0.11,0.19,0.19,0.19,0.08,0.08,0.08,4.0,2005,1,2005-01-01
303,DDURRY2,Durable goods,Furniture and household equipment,2005_Q2,0.16,0.17,0.17,0.17,0.01,0.01,0.01,4.0,2005,4,2005-04-01
304,DDURRY2,Durable goods,Motor vehicles and parts,2005_Q2,0.35,0.27,0.27,0.27,-0.08,0.08,0.08,4.0,2005,4,2005-04-01
305,DDURRY2,Durable goods,Other,2005_Q2,0.17,0.2,0.2,0.2,0.03,0.03,0.03,4.0,2005,4,2005-04-01
306,DDURRY2,Durable goods,Furniture and household equipment,2005_Q3,0.35,0.37,0.37,0.37,0.02,0.02,0.02,4.0,2005,7,2005-07-01
307,DDURRY2,Durable goods,Motor vehicles and parts,2005_Q3,0.62,0.45,0.45,0.45,-0.17,0.17,0.17,4.0,2005,7,2005-07-01
308,DDURRY2,Durable goods,Other,2005_Q3,-0.09,-0.06,0.06,0.06,0.03,0.03,0.03,4.0,2005,7,2005-07-01
309,DDURRY2,Durable goods,Furniture and household equipment,2005_Q4,0.35,0.33,0.33,0.33,-0.02,0.02,0.02,4.0,2005,10,2005-10-01
310,DDURRY2,Durable goods,Motor vehicles and parts,2005_Q4,-2.06,-1.92,1.92,1.92,0.14,0.14,0.14,4.0,2005,10,2005-10-01
311,DDURRY2,Durable goods,Other,2005_Q4,0.14,0.12,0.12,0.12,-0.02,0.02,0.02,4.0,2005,10,2005-10-01
312,DDURRY2,Durable goods,Furniture and household equipment,2006_Q1,0.64,0.66,0.66,0.66,0.02,0.02,0.02,4.0,2006,1,2006-01-01
313,DDURRY2,Durable goods,Motor vehicles and parts,2006_Q1,0.6,0.6,0.6,0.6,0.0,0.0,0.0,4.0,2006,1,2006-01-01
314,DDURRY2,Durable goods,Other,2006_Q1,0.27,0.26,0.26,0.26,-0.01,0.01,0.01,4.0,2006,1,2006-01-01
315,DDURRY2,Durable goods,Furniture and household equipment,2006_Q2,0.11,0.1,0.1,0.1,-0.01,0.01,0.01,4.0,2006,4,2006-04-01
316,DDURRY2,Durable goods,Motor vehicles and parts,2006_Q2,-0.11,-0.04,0.04,0.04,0.07,0.07,0.07,4.0,2006,4,2006-04-01
317,DDURRY2,Durable goods,Other,2006_Q2,-0.04,-0.06,0.06,0.06,-0.02,0.02,0.02,4.0,2006,4,2006-04-01
318,DDURRY2,Durable goods,Furniture and household equipment,2006_Q3,0.21,0.2,0.2,0.2,-0.01,0.01,0.01,4.0,2006,7,2006-07-01
319,DDURRY2,Durable goods,Motor vehicles and parts,2006_Q3,0.41,0.28,0.28,0.28,-0.13,0.13,0.13,4.0,2006,7,2006-07-01
320,DDURRY2,Durable goods,Other,2006_Q3,0.03,0.03,0.03,0.03,0.0,0.0,0.0,4.0,2006,7,2006-07-01
321,DDURRY2,Durable goods,Furniture and household equipment,2006_Q4,0.43,0.38,0.38,0.38,-0.05,0.05,0.05,4.0,2006,10,2006-10-01
322,DDURRY2,Durable goods,Motor vehicles and parts,2006_Q4,-0.08,-0.15,0.15,0.15,-0.07,0.07,0.07,4.0,2006,10,2006-10-01
