,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
1842,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2009_Q2,-0.15,-0.15,0.15,0.15,0.0,0.0,0.0,6.0,2009,4,2009-04-01
1843,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2009_Q3,0.11,0.12,0.12,0.12,0.01,0.01,0.01,6.0,2009,7,2009-07-01
1844,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2009_Q4,0.16,0.19,0.19,0.19,0.03,0.03,0.03,6.0,2009,10,2009-10-01
1845,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2010_Q1,0.24,0.25,0.25,0.25,0.01,0.01,0.01,6.0,2010,1,2010-01-01
1846,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2010_Q2,0.16,0.15,0.15,0.15,-0.01,0.01,0.01,6.0,2010,4,2010-04-01
1847,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2010_Q3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,6.0,2010,7,2010-07-01
1848,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2010_Q4,0.19,0.16,0.16,0.16,-0.03,0.03,0.03,6.0,2010,10,2010-10-01
1849,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2011_Q1,0.12,0.06,0.06,0.06,-0.06,0.06,0.06,6.0,2011,1,2011-01-01
1850,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2011_Q2,0.05,0.05,0.05,0.05,0.0,0.0,0.0,6.0,2011,4,2011-04-01
1851,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2011_Q3,0.08,0.09,0.09,0.09,0.01,0.01,0.01,6.0,2011,7,2011-07-01
1852,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2011_Q4,0.14,0.15,0.15,0.15,0.01,0.01,0.01,6.0,2011,10,2011-10-01
1853,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2012_Q1,0.17,0.15,0.15,0.15,-0.02,0.02,0.02,6.0,2012,1,2012-01-01
1854,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2012_Q2,-0.03,-0.01,0.01,0.01,0.02,0.02,0.02,6.0,2012,4,2012-04-01
1855,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2012_Q3,0.13,0.09,0.09,0.09,-0.04,0.04,0.04,6.0,2012,7,2012-07-01
1856,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2012_Q4,0.07,0.07,0.07,0.07,0.0,0.0,0.0,6.0,2012,10,2012-10-01
1857,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2013_Q1,0.06,0.08,0.08,0.08,0.02,0.02,0.02,6.0,2013,1,2013-01-01
1858,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2013_Q2,0.12,0.15,0.15,0.15,0.03,0.03,0.03,6.0,2013,4,2013-04-01
1859,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2013_Q3,0.19,0.21,0.21,0.21,0.02,0.02,0.02,6.0,2013,7,2013-07-01
1860,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2013_Q4,0.1,0.04,0.04,0.04,-0.06,0.06,0.06,6.0,2013,10,2013-10-01
1861,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2014_Q1,-0.03,-0.03,0.03,0.03,0.0,0.0,0.0,6.0,2014,1,2014-01-01
1862,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2014_Q2,0.21,0.2,0.2,0.2,-0.01,0.01,0.01,6.0,2014,4,2014-04-01
1863,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2014_Q3,0.06,0.1,0.1,0.1,0.04,0.04,0.04,6.0,2014,7,2014-07-01
1864,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2014_Q4,0.09,0.11,0.11,0.11,0.02,0.02,0.02,6.0,2014,10,2014-10-01
1865,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2015_Q1,0.05,0.09,0.09,0.09,0.04,0.04,0.04,6.0,2015,1,2015-01-01
1866,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2015_Q2,0.05,0.07,0.07,0.07,0.02,0.02,0.02,6.0,2015,4,2015-04-01
1867,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2015_Q3,0.12,0.14,0.14,0.14,0.02,0.02,0.02,6.0,2015,7,2015-07-01
1868,DFDHRY2,Furnishings and durable household equipment - DFDHRY2,Furnishings and durable household equipment,2015_Q4,0.09,0.09,0.09,0.09,0.0,0.0,0.0,6.0,2015,10,2015-10-01
