,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
1788,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2009_Q2,0.25,0.2,0.2,0.2,-0.05,0.05,0.05,10.0,2009,4,2009-04-01
1789,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2009_Q3,0.27,0.21,0.21,0.21,-0.06,0.06,0.06,10.0,2009,7,2009-07-01
1790,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2009_Q4,0.23,0.27,0.27,0.27,0.04,0.04,0.04,10.0,2009,10,2009-10-01
1791,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2010_Q1,0.18,0.17,0.17,0.17,-0.01,0.01,0.01,10.0,2010,1,2010-01-01
1792,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2010_Q2,-0.15,-0.16,0.16,0.16,-0.01,0.01,0.01,10.0,2010,4,2010-04-01
1793,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2010_Q3,0.2,0.17,0.17,0.17,-0.03,0.03,0.03,10.0,2010,7,2010-07-01
1794,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2010_Q4,0.26,0.26,0.26,0.26,0.0,0.0,0.0,10.0,2010,10,2010-10-01
1795,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2011_Q1,0.07,0.08,0.08,0.08,0.01,0.01,0.01,10.0,2011,1,2011-01-01
1796,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2011_Q2,0.04,0.06,0.06,0.06,0.02,0.02,0.02,10.0,2011,4,2011-04-01
1797,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2011_Q3,0.01,-0.01,0.01,0.01,-0.02,0.02,0.02,10.0,2011,7,2011-07-01
1798,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2011_Q4,0.01,-0.07,0.07,0.07,-0.08,0.08,0.08,10.0,2011,10,2011-10-01
1799,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2012_Q1,0.09,0.08,0.08,0.08,-0.01,0.01,0.01,10.0,2012,1,2012-01-01
1800,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2012_Q2,-0.02,-0.03,0.03,0.03,-0.01,0.01,0.01,10.0,2012,4,2012-04-01
1801,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2012_Q3,0.07,0.01,0.01,0.01,-0.06,0.06,0.06,10.0,2012,7,2012-07-01
1802,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2012_Q4,-0.03,-0.01,0.01,0.01,0.02,0.02,0.02,10.0,2012,10,2012-10-01
1803,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2013_Q1,0.05,0.11,0.11,0.11,0.06,0.06,0.06,10.0,2013,1,2013-01-01
1804,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2013_Q2,-0.07,-0.06,0.06,0.06,0.01,0.01,0.01,10.0,2013,4,2013-04-01
1805,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2013_Q3,0.14,0.14,0.14,0.14,0.0,0.0,0.0,10.0,2013,7,2013-07-01
1806,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2013_Q4,0.19,0.16,0.16,0.16,-0.03,0.03,0.03,10.0,2013,10,2013-10-01
1807,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2014_Q1,0.03,-0.06,0.06,0.06,-0.09,0.09,0.09,10.0,2014,1,2014-01-01
1808,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2014_Q2,-0.08,-0.07,0.07,0.07,0.01,0.01,0.01,10.0,2014,4,2014-04-01
1809,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2014_Q3,-0.06,0.0,0.0,0.0,0.06,0.06,0.06,10.0,2014,7,2014-07-01
1810,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2014_Q4,-0.08,-0.02,0.02,0.02,0.06,0.06,0.06,10.0,2014,10,2014-10-01
1811,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2015_Q1,-0.13,0.0,0.0,0.0,0.13,0.13,0.13,10.0,2015,1,2015-01-01
1812,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2015_Q2,0.14,0.14,0.14,0.14,0.0,0.0,0.0,10.0,2015,4,2015-04-01
1813,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2015_Q3,0.0,0.01,0.01,0.01,0.01,0.01,0.01,10.0,2015,7,2015-07-01
1814,DFXARY2,Food and beverages purchased for off-premises consumption - DFXARY2,Food and beverages purchased for off-premises consumption,2015_Q4,-0.09,-0.02,0.02,0.02,0.07,0.07,0.07,10.0,2015,10,2015-10-01
