,bea_code,category,date,ADVANCE,THIRD,abs_third,third_less_adv,abs_third_less_adv,line,year,month,date_t
803,DGDSRY2,Goods,2009_Q2,-0.9200000000000002,-0.72,1.1600000000000001,0.2,0.42000000000000004,3,2009,4,2009-04-01
804,DGDSRY2,Goods,2009_Q3,1.7900000000000003,1.59,1.6900000000000002,-0.19999999999999998,0.4800000000000001,3,2009,7,2009-07-01
805,DGDSRY2,Goods,2009_Q4,0.6100000000000001,0.6699999999999999,1.8299999999999998,0.06000000000000001,0.22000000000000003,3,2009,10,2009-10-01
806,DGDSRY2,Goods,2010_Q1,1.41,1.43,1.47,0.019999999999999997,0.16,3,2010,1,2010-01-01
807,DGDSRY2,Goods,2010_Q2,0.79,0.78,1.1400000000000001,-0.00999999999999999,0.19,3,2010,4,2010-04-01
808,DGDSRY2,Goods,2010_Q3,0.6399999999999999,0.9400000000000001,1.0,0.3,0.38,3,2010,7,2010-07-01
809,DGDSRY2,Goods,2010_Q4,2.2600000000000002,2.1100000000000003,2.41,-0.15000000000000002,0.31000000000000005,3,2010,10,2010-10-01
810,DGDSRY2,Goods,2011_Q1,1.12,0.89,1.21,-0.23000000000000004,0.43,3,2011,1,2011-01-01
811,DGDSRY2,Goods,2011_Q2,-0.33,-0.3899999999999999,1.57,-0.059999999999999984,0.19999999999999998,3,2011,4,2011-04-01
812,DGDSRY2,Goods,2011_Q3,0.35,0.33,0.8100000000000002,-0.02000000000000001,0.32,3,2011,7,2011-07-01
813,DGDSRY2,Goods,2011_Q4,1.35,1.2799999999999998,1.7600000000000002,-0.07,0.27,3,2011,10,2011-10-01
814,DGDSRY2,Goods,2012_Q1,1.48,1.35,1.5300000000000002,-0.13,0.39,3,2012,1,2012-01-01
815,DGDSRY2,Goods,2012_Q2,0.17000000000000004,0.09000000000000001,0.93,-0.07999999999999999,0.26,3,2012,4,2012-04-01
816,DGDSRY2,Goods,2012_Q3,1.0300000000000002,0.85,1.0099999999999998,-0.18,0.37999999999999995,3,2012,7,2012-07-01
817,DGDSRY2,Goods,2012_Q4,1.08,1.01,1.45,-0.06999999999999999,0.31000000000000005,3,2012,10,2012-10-01
818,DGDSRY2,Goods,2013_Q1,0.78,1.04,1.04,0.26,0.39999999999999997,3,2013,1,2013-01-01
819,DGDSRY2,Goods,2013_Q2,0.7799999999999999,0.72,0.92,-0.06,0.33999999999999997,3,2013,4,2013-04-01
820,DGDSRY2,Goods,2013_Q3,0.9799999999999999,1.03,1.21,0.049999999999999996,0.25,3,2013,7,2013-07-01
821,DGDSRY2,Goods,2013_Q4,1.12,0.6699999999999999,0.69,-0.44999999999999996,0.44999999999999996,3,2013,10,2013-10-01
822,DGDSRY2,Goods,2014_Q1,0.08,0.04000000000000002,0.39999999999999997,-0.03999999999999999,0.22,3,2014,1,2014-01-01
823,DGDSRY2,Goods,2014_Q2,1.3800000000000001,1.33,1.6300000000000003,-0.05,0.15,3,2014,4,2014-04-01
824,DGDSRY2,Goods,2014_Q3,0.7000000000000001,1.07,1.09,0.37000000000000005,0.37000000000000005,3,2014,7,2014-07-01
825,DGDSRY2,Goods,2014_Q4,1.18,1.07,1.11,-0.10999999999999999,0.35,3,2014,10,2014-10-01
826,DGDSRY2,Goods,2015_Q1,0.04000000000000001,0.21,0.51,0.17,0.23,3,2015,1,2015-01-01
827,DGDSRY2,Goods,2015_Q2,1.05,1.2,1.22,0.15,0.21,3,2015,4,2015-04-01
828,DGDSRY2,Goods,2015_Q3,0.99,1.0899999999999999,1.0899999999999999,0.1,0.26,3,2015,7,2015-07-01
829,DGDSRY2,Goods,2015_Q4,0.53,0.36,0.78,-0.16999999999999998,0.35000000000000003,3,2015,10,2015-10-01
