,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
1890,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2009_Q2,-0.03,0.02,0.02,0.02,0.05,0.05,0.05,12.0,2009,4,2009-04-01
1891,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2009_Q3,0.04,-0.04,0.04,0.04,-0.08,0.08,0.08,12.0,2009,7,2009-07-01
1892,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2009_Q4,-0.06,-0.05,0.05,0.05,0.01,0.01,0.01,12.0,2009,10,2009-10-01
1893,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2010_Q1,0.04,0.0,0.0,0.0,-0.04,0.04,0.04,12.0,2010,1,2010-01-01
1894,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2010_Q2,0.02,0.07,0.07,0.07,0.05,0.05,0.05,12.0,2010,4,2010-04-01
1895,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2010_Q3,-0.17,0.0,0.0,0.0,0.17,0.17,0.17,12.0,2010,7,2010-07-01
1896,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2010_Q4,-0.08,-0.15,0.15,0.15,-0.07,0.07,0.07,12.0,2010,10,2010-10-01
1897,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2011_Q1,-0.04,-0.16,0.16,0.16,-0.12,0.12,0.12,12.0,2011,1,2011-01-01
1898,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2011_Q2,-0.2,-0.24,0.24,0.24,-0.04,0.04,0.04,12.0,2011,4,2011-04-01
1899,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2011_Q3,0.09,-0.04,0.04,0.04,-0.13,0.13,0.13,12.0,2011,7,2011-07-01
1900,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2011_Q4,-0.01,-0.08,0.08,0.08,-0.07,0.07,0.07,12.0,2011,10,2011-10-01
1901,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2012_Q1,-0.14,-0.09,0.09,0.09,0.05,0.05,0.05,12.0,2012,1,2012-01-01
1902,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2012_Q2,0.38,0.23,0.23,0.23,-0.15,0.15,0.15,12.0,2012,4,2012-04-01
1903,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2012_Q3,0.01,-0.08,0.08,0.08,-0.09,0.09,0.09,12.0,2012,7,2012-07-01
1904,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2012_Q4,-0.1,-0.17,0.17,0.17,-0.07,0.07,0.07,12.0,2012,10,2012-10-01
1905,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2013_Q1,-0.1,0.12,0.12,0.12,0.22,0.22,0.22,12.0,2013,1,2013-01-01
1906,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2013_Q2,0.11,-0.02,0.02,0.02,-0.13,0.13,0.13,12.0,2013,4,2013-04-01
1907,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2013_Q3,-0.03,0.08,0.08,0.08,0.11,0.11,0.11,12.0,2013,7,2013-07-01
1908,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2013_Q4,0.04,-0.01,0.01,0.01,-0.05,0.05,0.05,12.0,2013,10,2013-10-01
1909,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2014_Q1,0.03,0.05,0.05,0.05,0.02,0.02,0.02,12.0,2014,1,2014-01-01
1910,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2014_Q2,-0.09,-0.08,0.08,0.08,0.01,0.01,0.01,12.0,2014,4,2014-04-01
1911,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2014_Q3,-0.06,0.02,0.02,0.02,0.08,0.08,0.08,12.0,2014,7,2014-07-01
1912,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2014_Q4,0.25,0.19,0.19,0.19,-0.06,0.06,0.06,12.0,2014,10,2014-10-01
1913,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2015_Q1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,12.0,2015,1,2015-01-01
1914,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2015_Q2,0.0,-0.01,0.01,0.01,-0.01,0.01,0.01,12.0,2015,4,2015-04-01
1915,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2015_Q3,0.05,0.09,0.09,0.09,0.04,0.04,0.04,12.0,2015,7,2015-07-01
1916,DGOERY2,Gasoline and other energy goods - DGOERY2,Gasoline and other energy goods,2015_Q4,-0.01,-0.04,0.04,0.04,-0.03,0.03,0.03,12.0,2015,10,2015-10-01
