,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
4261,DHCERY2,Household consumption for services,Electricity and gas,2004_Q1,0.15,0.13,0.13,0.13,-0.02,0.02,0.02,15.0,2004,1,2004-01-01
4262,DHCERY2,Household consumption for services,Housing,2004_Q1,0.22,0.24,0.24,0.24,0.02,0.02,0.02,15.0,2004,1,2004-01-01
4263,DHCERY2,Household consumption for services,Medical care,2004_Q1,0.51,0.53,0.53,0.53,0.02,0.02,0.02,15.0,2004,1,2004-01-01
4264,DHCERY2,Household consumption for services,Other,2004_Q1,0.66,0.49,0.49,0.49,-0.17,0.17,0.17,15.0,2004,1,2004-01-01
4265,DHCERY2,Household consumption for services,Other household operation,2004_Q1,0.07,0.05,0.05,0.05,-0.02,0.02,0.02,15.0,2004,1,2004-01-01
4266,DHCERY2,Household consumption for services,Recreation,2004_Q1,0.17,0.17,0.17,0.17,0.0,0.0,0.0,15.0,2004,1,2004-01-01
4267,DHCERY2,Household consumption for services,Transportation,2004_Q1,-0.01,-0.01,0.01,0.01,0.0,0.0,0.0,15.0,2004,1,2004-01-01
4268,DHCERY2,Household consumption for services,Electricity and gas,2004_Q2,-0.3,-0.13,0.13,0.13,0.17,0.17,0.17,15.0,2004,4,2004-04-01
4269,DHCERY2,Household consumption for services,Housing,2004_Q2,0.21,0.21,0.21,0.21,0.0,0.0,0.0,15.0,2004,4,2004-04-01
4270,DHCERY2,Household consumption for services,Medical care,2004_Q2,0.57,0.52,0.52,0.52,-0.05,0.05,0.05,15.0,2004,4,2004-04-01
4271,DHCERY2,Household consumption for services,Other,2004_Q2,0.31,0.32,0.32,0.32,0.01,0.01,0.01,15.0,2004,4,2004-04-01
4272,DHCERY2,Household consumption for services,Other household operation,2004_Q2,0.12,0.09,0.09,0.09,-0.03,0.03,0.03,15.0,2004,4,2004-04-01
4273,DHCERY2,Household consumption for services,Recreation,2004_Q2,0.0,0.01,0.01,0.01,0.01,0.01,0.01,15.0,2004,4,2004-04-01
4274,DHCERY2,Household consumption for services,Transportation,2004_Q2,0.06,0.08,0.08,0.08,0.02,0.02,0.02,15.0,2004,4,2004-04-01
4275,DHCERY2,Household consumption for services,Electricity and gas,2004_Q3,-0.1,-0.01,0.01,0.01,0.09,0.09,0.09,15.0,2004,7,2004-07-01
4276,DHCERY2,Household consumption for services,Housing,2004_Q3,0.25,0.25,0.25,0.25,0.0,0.0,0.0,15.0,2004,7,2004-07-01
4277,DHCERY2,Household consumption for services,Medical care,2004_Q3,0.56,0.59,0.59,0.59,0.03,0.03,0.03,15.0,2004,7,2004-07-01
4278,DHCERY2,Household consumption for services,Other,2004_Q3,0.25,0.24,0.24,0.24,-0.01,0.01,0.01,15.0,2004,7,2004-07-01
4279,DHCERY2,Household consumption for services,Other household operation,2004_Q3,0.04,0.06,0.06,0.06,0.02,0.02,0.02,15.0,2004,7,2004-07-01
4280,DHCERY2,Household consumption for services,Recreation,2004_Q3,0.05,0.08,0.08,0.08,0.03,0.03,0.03,15.0,2004,7,2004-07-01
4281,DHCERY2,Household consumption for services,Transportation,2004_Q3,0.04,0.04,0.04,0.04,0.0,0.0,0.0,15.0,2004,7,2004-07-01
4282,DHCERY2,Household consumption for services,Electricity and gas,2004_Q4,0.2,0.18,0.18,0.18,-0.02,0.02,0.02,15.0,2004,10,2004-10-01
4283,DHCERY2,Household consumption for services,Housing,2004_Q4,0.21,0.24,0.24,0.24,0.03,0.03,0.03,15.0,2004,10,2004-10-01
4284,DHCERY2,Household consumption for services,Medical care,2004_Q4,0.48,0.5,0.5,0.5,0.02,0.02,0.02,15.0,2004,10,2004-10-01
4285,DHCERY2,Household consumption for services,Other,2004_Q4,0.5,0.39,0.39,0.39,-0.11,0.11,0.11,15.0,2004,10,2004-10-01
4286,DHCERY2,Household consumption for services,Other household operation,2004_Q4,0.05,0.02,0.02,0.02,-0.03,0.03,0.03,15.0,2004,10,2004-10-01
4287,DHCERY2,Household consumption for services,Recreation,2004_Q4,0.0,-0.04,0.04,0.04,-0.04,0.04,0.04,15.0,2004,10,2004-10-01
4288,DHCERY2,Household consumption for services,Transportation,2004_Q4,0.08,0.11,0.11,0.11,0.03,0.03,0.03,15.0,2004,10,2004-10-01
4289,DHCERY2,Household consumption for services,Electricity and gas,2005_Q1,0.1,-0.01,0.01,0.01,-0.11,0.11,0.11,15.0,2005,1,2005-01-01
4290,DHCERY2,Household consumption for services,Housing,2005_Q1,0.26,0.26,0.26,0.26,0.0,0.0,0.0,15.0,2005,1,2005-01-01
4291,DHCERY2,Household consumption for services,Medical care,2005_Q1,0.54,0.55,0.55,0.55,0.01,0.01,0.01,15.0,2005,1,2005-01-01
