,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv,line,year,month,date_t
620,DIFSRY2,Financial services and insurance - DIFSRY2,2009_Q2,0.16,0.14,0.14,0.14,-0.02,0.02,21,2009,4,2009-04-01
621,DIFSRY2,Financial services and insurance - DIFSRY2,2009_Q3,0.21,0.17,0.17,0.17,-0.04,0.04,21,2009,7,2009-07-01
622,DIFSRY2,Financial services and insurance - DIFSRY2,2009_Q4,0.12,-0.15,0.15,0.15,-0.27,0.27,21,2009,10,2009-10-01
623,DIFSRY2,Financial services and insurance - DIFSRY2,2010_Q1,-0.04,0.06,0.06,0.06,0.1,0.1,21,2010,1,2010-01-01
624,DIFSRY2,Financial services and insurance - DIFSRY2,2010_Q2,0.17,0.07,0.07,0.07,-0.1,0.1,21,2010,4,2010-04-01
625,DIFSRY2,Financial services and insurance - DIFSRY2,2010_Q3,-0.17,-0.27,0.27,0.27,-0.1,0.1,21,2010,7,2010-07-01
626,DIFSRY2,Financial services and insurance - DIFSRY2,2010_Q4,0.16,0.16,0.16,0.16,0.0,0.0,21,2010,10,2010-10-01
627,DIFSRY2,Financial services and insurance - DIFSRY2,2011_Q1,0.32,0.33,0.33,0.33,0.01,0.01,21,2011,1,2011-01-01
628,DIFSRY2,Financial services and insurance - DIFSRY2,2011_Q2,0.07,0.07,0.07,0.07,0.0,0.0,21,2011,4,2011-04-01
629,DIFSRY2,Financial services and insurance - DIFSRY2,2011_Q3,0.17,0.19,0.19,0.19,0.02,0.02,21,2011,7,2011-07-01
630,DIFSRY2,Financial services and insurance - DIFSRY2,2011_Q4,-0.16,-0.16,0.16,0.16,0.0,0.0,21,2011,10,2011-10-01
631,DIFSRY2,Financial services and insurance - DIFSRY2,2012_Q1,0.23,0.14,0.14,0.14,-0.09,0.09,21,2012,1,2012-01-01
632,DIFSRY2,Financial services and insurance - DIFSRY2,2012_Q2,0.11,-0.01,0.01,0.01,-0.12,0.12,21,2012,4,2012-04-01
633,DIFSRY2,Financial services and insurance - DIFSRY2,2012_Q3,-0.1,-0.26,0.26,0.26,-0.16,0.16,21,2012,7,2012-07-01
634,DIFSRY2,Financial services and insurance - DIFSRY2,2012_Q4,0.22,0.14,0.14,0.14,-0.08,0.08,21,2012,10,2012-10-01
635,DIFSRY2,Financial services and insurance - DIFSRY2,2013_Q1,0.31,0.36,0.36,0.36,0.05,0.05,21,2013,1,2013-01-01
636,DIFSRY2,Financial services and insurance - DIFSRY2,2013_Q2,0.2,0.2,0.2,0.2,0.0,0.0,21,2013,4,2013-04-01
637,DIFSRY2,Financial services and insurance - DIFSRY2,2013_Q3,0.02,0.09,0.09,0.09,0.07,0.07,21,2013,7,2013-07-01
638,DIFSRY2,Financial services and insurance - DIFSRY2,2013_Q4,0.24,0.3,0.3,0.3,0.06,0.06,21,2013,10,2013-10-01
639,DIFSRY2,Financial services and insurance - DIFSRY2,2014_Q1,0.25,0.13,0.13,0.13,-0.12,0.12,21,2014,1,2014-01-01
640,DIFSRY2,Financial services and insurance - DIFSRY2,2014_Q2,0.06,0.14,0.14,0.14,0.08,0.08,21,2014,4,2014-04-01
641,DIFSRY2,Financial services and insurance - DIFSRY2,2014_Q3,0.27,0.35,0.35,0.35,0.08,0.08,21,2014,7,2014-07-01
642,DIFSRY2,Financial services and insurance - DIFSRY2,2014_Q4,0.32,0.17,0.17,0.17,-0.15,0.15,21,2014,10,2014-10-01
643,DIFSRY2,Financial services and insurance - DIFSRY2,2015_Q1,0.09,0.06,0.06,0.06,-0.03,0.03,21,2015,1,2015-01-01
644,DIFSRY2,Financial services and insurance - DIFSRY2,2015_Q2,0.18,0.12,0.12,0.12,-0.06,0.06,21,2015,4,2015-04-01
645,DIFSRY2,Financial services and insurance - DIFSRY2,2015_Q3,0.24,-0.05,0.05,0.05,-0.29,0.29,21,2015,7,2015-07-01
646,DIFSRY2,Financial services and insurance - DIFSRY2,2015_Q4,0.02,0.16,0.16,0.16,0.14,0.14,21,2015,10,2015-10-01
