,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
129,5,DMOTRY2,      Motor vehicles and parts,2009_Q2,-0.27,-0.13,-0.14,0.04,-0.14,-0.13,-0.31,0.01,0.14,0.13,0.01,0.13,0.04,0.31,0.18,2009,4,2009-04-01
130,5,DMOTRY2,      Motor vehicles and parts,2009_Q3,1.01,0.81,0.81,0.93,0.2,0.2,0.08,0.0,0.2,0.2,0.0,0.16,0.93,0.08,0.12,2009,7,2009-07-01
131,5,DMOTRY2,      Motor vehicles and parts,2009_Q4,-0.57,-0.53,-0.53,-0.92,-0.04,-0.04,0.35,0.0,0.04,0.04,0.0,0.12,0.92,0.35,0.39,2009,10,2009-10-01
132,5,DMOTRY2,      Motor vehicles and parts,2010_Q1,-0.02,-0.01,-0.02,-0.1,-0.01,0.0,0.08,0.01,0.01,0.0,0.01,0.09,0.1,0.08,0.08,2010,1,2010-01-01
133,5,DMOTRY2,      Motor vehicles and parts,2010_Q2,0.21,0.16,0.15,0.39,0.05,0.06,-0.18,0.01,0.05,0.06,0.01,0.09,0.39,0.18,0.24,2010,4,2010-04-01
134,5,DMOTRY2,      Motor vehicles and parts,2010_Q3,0.03,0.13,0.12,0.17,-0.1,-0.09,-0.14,0.01,0.1,0.09,0.01,0.09,0.17,0.14,0.05,2010,7,2010-07-01
135,5,DMOTRY2,      Motor vehicles and parts,2010_Q4,0.9,0.96,0.98,0.46,-0.06,-0.08,0.44,-0.02,0.06,0.08,0.02,0.09,0.46,0.44,0.52,2010,10,2010-10-01
136,5,DMOTRY2,      Motor vehicles and parts,2011_Q1,0.32,0.24,0.24,0.02,0.08,0.08,0.3,0.0,0.08,0.08,0.0,0.08,0.02,0.3,0.22,2011,1,2011-01-01
137,5,DMOTRY2,      Motor vehicles and parts,2011_Q2,-0.65,-0.73,-0.74,-0.52,0.08,0.09,-0.13,0.01,0.08,0.09,0.01,0.08,0.52,0.13,0.22,2011,4,2011-04-01
138,5,DMOTRY2,      Motor vehicles and parts,2011_Q3,-0.08,0.05,0.04,0.03,-0.13,-0.12,-0.11,0.01,0.13,0.12,0.01,0.07,0.03,0.11,0.01,2011,7,2011-07-01
139,5,DMOTRY2,      Motor vehicles and parts,2011_Q4,0.81,0.81,0.83,0.5,0.0,-0.02,0.31,-0.02,0.0,0.02,0.02,0.07,0.5,0.31,0.33,2011,10,2011-10-01
140,5,DMOTRY2,      Motor vehicles and parts,2012_Q1,0.68,0.54,0.52,0.28,0.14,0.16,0.4,0.02,0.14,0.16,0.02,0.09,0.28,0.4,0.24,2012,1,2012-01-01
141,5,DMOTRY2,      Motor vehicles and parts,2012_Q2,-0.29,-0.25,-0.26,0.05,-0.04,-0.03,-0.34,0.01,0.04,0.03,0.01,0.08,0.05,0.34,0.31,2012,4,2012-04-01
142,5,DMOTRY2,      Motor vehicles and parts,2012_Q3,0.18,0.25,0.25,0.15,-0.07,-0.07,0.03,0.0,0.07,0.07,0.0,0.08,0.15,0.03,0.1,2012,7,2012-07-01
143,5,DMOTRY2,      Motor vehicles and parts,2012_Q4,0.62,0.53,0.53,0.22,0.09,0.09,0.4,0.0,0.09,0.09,0.0,0.08,0.22,0.4,0.31,2012,10,2012-10-01
144,5,DMOTRY2,      Motor vehicles and parts,2013_Q1,0.27,0.24,0.23,0.23,0.03,0.04,0.04,0.01,0.03,0.04,0.01,0.08,0.23,0.04,0.0,2013,1,2013-01-01
145,5,DMOTRY2,      Motor vehicles and parts,2013_Q2,-0.01,-0.02,-0.02,-0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.07,0.02,0.01,0.0,2013,4,2013-04-01
146,5,DMOTRY2,      Motor vehicles and parts,2013_Q3,0.16,0.13,0.12,-0.04,0.03,0.04,0.2,0.01,0.03,0.04,0.01,0.06,0.04,0.2,0.16,2013,7,2013-07-01
147,5,DMOTRY2,      Motor vehicles and parts,2013_Q4,0.02,-0.02,0.0,0.06,0.04,0.02,-0.04,-0.02,0.04,0.02,0.02,0.06,0.06,0.04,0.06,2013,10,2013-10-01
148,5,DMOTRY2,      Motor vehicles and parts,2014_Q1,0.02,0.08,0.07,0.1,-0.06,-0.05,-0.08,0.01,0.06,0.05,0.01,0.04,0.1,0.08,0.03,2014,1,2014-01-01
149,5,DMOTRY2,      Motor vehicles and parts,2014_Q2,0.42,0.47,0.45,0.41,-0.05,-0.03,0.01,0.02,0.05,0.03,0.02,0.04,0.41,0.01,0.04,2014,4,2014-04-01
150,5,DMOTRY2,      Motor vehicles and parts,2014_Q3,0.25,0.26,0.28,0.19,-0.01,-0.03,0.06,-0.02,0.01,0.03,0.02,0.04,0.19,0.06,0.09,2014,7,2014-07-01
151,5,DMOTRY2,      Motor vehicles and parts,2014_Q4,0.16,0.09,0.1,0.11,0.07,0.06,0.05,-0.01,0.07,0.06,0.01,0.04,0.11,0.05,0.01,2014,10,2014-10-01
152,5,DMOTRY2,      Motor vehicles and parts,2015_Q1,-0.08,-0.1,-0.11,-0.09,0.02,0.03,0.01,0.01,0.02,0.03,0.01,0.03,0.09,0.01,0.02,2015,1,2015-01-01
153,5,DMOTRY2,      Motor vehicles and parts,2015_Q2,0.26,0.26,0.24,0.24,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.04,0.24,0.02,0.0,2015,4,2015-04-01
154,5,DMOTRY2,      Motor vehicles and parts,2015_Q3,0.13,0.08,0.08,0.08,0.05,0.05,0.05,0.0,0.05,0.05,0.0,0.04,0.08,0.05,0.0,2015,7,2015-07-01
155,5,DMOTRY2,      Motor vehicles and parts,2015_Q4,-0.13,-0.17,-0.15,-0.15,0.04,0.02,0.02,-0.02,0.04,0.02,0.02,0.04,0.15,0.02,0.0,2015,10,2015-10-01
