,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
6054,DNDGRY2,Nondurable goods,Clothing and shoes,2004_Q1,0.4,0.4,0.4,0.4,0.0,0.0,0.0,9.0,2004,1,2004-01-01
6055,DNDGRY2,Nondurable goods,Food,2004_Q1,0.77,0.82,0.82,0.82,0.05,0.05,0.05,9.0,2004,1,2004-01-01
6056,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2004_Q1,-0.01,-0.07,0.07,0.07,-0.06,0.06,0.06,9.0,2004,1,2004-01-01
6057,DNDGRY2,Nondurable goods,Other,2004_Q1,0.13,0.2,0.2,0.2,0.07,0.07,0.07,9.0,2004,1,2004-01-01
6058,DNDGRY2,Nondurable goods,Clothing and shoes,2004_Q2,-0.17,-0.15,0.15,0.15,0.02,0.02,0.02,9.0,2004,4,2004-04-01
6059,DNDGRY2,Nondurable goods,Food,2004_Q2,0.01,0.22,0.22,0.22,0.21,0.21,0.21,9.0,2004,4,2004-04-01
6060,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2004_Q2,-0.1,-0.29,0.29,0.29,-0.19,0.19,0.19,9.0,2004,4,2004-04-01
6061,DNDGRY2,Nondurable goods,Other,2004_Q2,0.25,0.25,0.25,0.25,0.0,0.0,0.0,9.0,2004,4,2004-04-01
6062,DNDGRY2,Nondurable goods,Clothing and shoes,2004_Q3,0.13,0.16,0.16,0.16,0.03,0.03,0.03,9.0,2004,7,2004-07-01
6063,DNDGRY2,Nondurable goods,Food,2004_Q3,0.27,0.42,0.42,0.42,0.15,0.15,0.15,9.0,2004,7,2004-07-01
6064,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2004_Q3,0.14,0.05,0.05,0.05,-0.09,0.09,0.09,9.0,2004,7,2004-07-01
6065,DNDGRY2,Nondurable goods,Other,2004_Q3,0.25,0.3,0.3,0.3,0.05,0.05,0.05,9.0,2004,7,2004-07-01
6066,DNDGRY2,Nondurable goods,Clothing and shoes,2004_Q4,0.26,0.27,0.27,0.27,0.01,0.01,0.01,9.0,2004,10,2004-10-01
6067,DNDGRY2,Nondurable goods,Food,2004_Q4,0.67,0.74,0.74,0.74,0.07,0.07,0.07,9.0,2004,10,2004-10-01
6068,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2004_Q4,0.0,-0.02,0.02,0.02,-0.02,0.02,0.02,9.0,2004,10,2004-10-01
6069,DNDGRY2,Nondurable goods,Other,2004_Q4,0.23,0.2,0.2,0.2,-0.03,0.03,0.03,9.0,2004,10,2004-10-01
6070,DNDGRY2,Nondurable goods,Clothing and shoes,2005_Q1,0.11,0.16,0.16,0.16,0.05,0.05,0.05,9.0,2005,1,2005-01-01
6071,DNDGRY2,Nondurable goods,Food,2005_Q1,0.48,0.57,0.57,0.57,0.09,0.09,0.09,9.0,2005,1,2005-01-01
6072,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2005_Q1,0.16,0.15,0.15,0.15,-0.01,0.01,0.01,9.0,2005,1,2005-01-01
6073,DNDGRY2,Nondurable goods,Other,2005_Q1,0.23,0.23,0.23,0.23,0.0,0.0,0.0,9.0,2005,1,2005-01-01
6074,DNDGRY2,Nondurable goods,Clothing and shoes,2005_Q2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,9.0,2005,4,2005-04-01
6075,DNDGRY2,Nondurable goods,Food,2005_Q2,0.33,0.42,0.42,0.42,0.09,0.09,0.09,9.0,2005,4,2005-04-01
6076,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2005_Q2,-0.08,-0.11,0.11,0.11,-0.03,0.03,0.03,9.0,2005,4,2005-04-01
6077,DNDGRY2,Nondurable goods,Other,2005_Q2,0.21,0.23,0.23,0.23,0.02,0.02,0.02,9.0,2005,4,2005-04-01
6078,DNDGRY2,Nondurable goods,Clothing and shoes,2005_Q3,0.05,0.08,0.08,0.08,0.03,0.03,0.03,9.0,2005,7,2005-07-01
6079,DNDGRY2,Nondurable goods,Food,2005_Q3,0.53,0.61,0.61,0.61,0.08,0.08,0.08,9.0,2005,7,2005-07-01
6080,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2005_Q3,-0.16,-0.11,0.11,0.11,0.05,0.05,0.05,9.0,2005,7,2005-07-01
6081,DNDGRY2,Nondurable goods,Other,2005_Q3,0.12,0.15,0.15,0.15,0.03,0.03,0.03,9.0,2005,7,2005-07-01
6082,DNDGRY2,Nondurable goods,Clothing and shoes,2005_Q4,0.28,0.27,0.27,0.27,-0.01,0.01,0.01,9.0,2005,10,2005-10-01
6083,DNDGRY2,Nondurable goods,Food,2005_Q4,0.51,0.5,0.5,0.5,-0.01,0.01,0.01,9.0,2005,10,2005-10-01
6084,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2005_Q4,0.07,0.03,0.03,0.03,-0.04,0.04,0.04,9.0,2005,10,2005-10-01
6085,DNDGRY2,Nondurable goods,Other,2005_Q4,0.17,0.21,0.21,0.21,0.04,0.04,0.04,9.0,2005,10,2005-10-01
6086,DNDGRY2,Nondurable goods,Clothing and shoes,2006_Q1,0.21,0.22,0.22,0.22,0.01,0.01,0.01,9.0,2006,1,2006-01-01
6087,DNDGRY2,Nondurable goods,Food,2006_Q1,0.58,0.65,0.65,0.65,0.07,0.07,0.07,9.0,2006,1,2006-01-01
6088,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2006_Q1,0.02,-0.01,0.01,0.01,-0.03,0.03,0.03,9.0,2006,1,2006-01-01
6089,DNDGRY2,Nondurable goods,Other,2006_Q1,0.3,0.35,0.35,0.35,0.05,0.05,0.05,9.0,2006,1,2006-01-01
6090,DNDGRY2,Nondurable goods,Clothing and shoes,2006_Q2,-0.1,-0.1,0.1,0.1,0.0,0.0,0.0,9.0,2006,4,2006-04-01
6091,DNDGRY2,Nondurable goods,Food,2006_Q2,0.21,0.19,0.19,0.19,-0.02,0.02,0.02,9.0,2006,4,2006-04-01
6092,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2006_Q2,0.02,0.02,0.02,0.02,0.0,0.0,0.0,9.0,2006,4,2006-04-01
6093,DNDGRY2,Nondurable goods,Other,2006_Q2,0.21,0.19,0.19,0.19,-0.02,0.02,0.02,9.0,2006,4,2006-04-01
6094,DNDGRY2,Nondurable goods,Clothing and shoes,2006_Q3,0.15,0.15,0.15,0.15,0.0,0.0,0.0,9.0,2006,7,2006-07-01
6095,DNDGRY2,Nondurable goods,Food,2006_Q3,-0.06,-0.07,0.07,0.07,-0.01,0.01,0.01,9.0,2006,7,2006-07-01
6096,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2006_Q3,0.11,0.14,0.14,0.14,0.03,0.03,0.03,9.0,2006,7,2006-07-01
6097,DNDGRY2,Nondurable goods,Other,2006_Q3,0.13,0.11,0.11,0.11,-0.02,0.02,0.02,9.0,2006,7,2006-07-01
6098,DNDGRY2,Nondurable goods,Clothing and shoes,2006_Q4,0.19,0.18,0.18,0.18,-0.01,0.01,0.01,9.0,2006,10,2006-10-01
6099,DNDGRY2,Nondurable goods,Food,2006_Q4,0.69,0.62,0.62,0.62,-0.07,0.07,0.07,9.0,2006,10,2006-10-01
6100,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2006_Q4,0.09,0.03,0.03,0.03,-0.06,0.06,0.06,9.0,2006,10,2006-10-01
6101,DNDGRY2,Nondurable goods,Other,2006_Q4,0.41,0.35,0.35,0.35,-0.06,0.06,0.06,9.0,2006,10,2006-10-01
6102,DNDGRY2,Nondurable goods,Clothing and shoes,2007_Q1,0.18,0.21,0.21,0.21,0.03,0.03,0.03,9.0,2007,1,2007-01-01
6103,DNDGRY2,Nondurable goods,Food,2007_Q1,0.08,0.14,0.14,0.14,0.06,0.06,0.06,9.0,2007,1,2007-01-01
