,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,second_less_adv,third_less_adv,current_less_adv,third_less_second,abs_second_less_adv,abs_third_less_adv,abs_third_less_second,abs_two_year,abs_current,abs_current_less_adv,abs_current_less_third,year,month,date_t
726,24,DNPERY2,      Gross output of nonprofit institutions \2\,2009_Q2,-0.07,-0.05,0.01,0.07,0.02,0.08,0.14,0.06,0.02,0.08,0.06,0.08,0.07,0.14,0.06,2009,4,2009-04-01
727,24,DNPERY2,      Gross output of nonprofit institutions \2\,2009_Q3,0.02,0.05,-0.04,0.1,0.03,-0.06,0.08,-0.09,0.03,0.06,0.09,0.07,0.1,0.08,0.14,2009,7,2009-07-01
728,24,DNPERY2,      Gross output of nonprofit institutions \2\,2009_Q4,0.11,0.1,0.11,0.02,-0.01,0.0,-0.09,0.01,0.01,0.0,0.01,0.05,0.02,0.09,0.09,2009,10,2009-10-01
729,24,DNPERY2,      Gross output of nonprofit institutions \2\,2010_Q1,0.19,0.19,0.03,-0.08,0.0,-0.16,-0.27,-0.16,0.0,0.16,0.16,0.08,0.08,0.27,0.11,2010,1,2010-01-01
730,24,DNPERY2,      Gross output of nonprofit institutions \2\,2010_Q2,0.1,0.11,0.25,0.32,0.01,0.15,0.22,0.14,0.01,0.15,0.14,0.09,0.32,0.22,0.07,2010,4,2010-04-01
731,24,DNPERY2,      Gross output of nonprofit institutions \2\,2010_Q3,0.27,0.28,0.09,0.18,0.01,-0.18,-0.09,-0.19,0.01,0.18,0.19,0.11,0.18,0.09,0.09,2010,7,2010-07-01
732,24,DNPERY2,      Gross output of nonprofit institutions \2\,2010_Q4,0.24,0.24,0.25,0.17,0.0,0.01,-0.07,0.01,0.0,0.01,0.01,0.09,0.17,0.07,0.08,2010,10,2010-10-01
733,24,DNPERY2,      Gross output of nonprofit institutions \2\,2011_Q1,0.08,0.09,-0.03,-0.1,0.01,-0.11,-0.18,-0.12,0.01,0.11,0.12,0.09,0.1,0.18,0.07,2011,1,2011-01-01
734,24,DNPERY2,      Gross output of nonprofit institutions \2\,2011_Q2,0.04,0.11,0.1,0.08,0.07,0.06,0.04,-0.01,0.07,0.06,0.01,0.09,0.08,0.04,0.02,2011,4,2011-04-01
735,24,DNPERY2,      Gross output of nonprofit institutions \2\,2011_Q3,0.37,0.43,-0.02,-0.04,0.06,-0.39,-0.41,-0.45,0.06,0.39,0.45,0.13,0.04,0.41,0.02,2011,7,2011-07-01
736,24,DNPERY2,      Gross output of nonprofit institutions \2\,2011_Q4,0.17,0.14,0.24,0.27,-0.03,0.07,0.1,0.1,0.03,0.07,0.1,0.14,0.27,0.1,0.03,2011,10,2011-10-01
737,24,DNPERY2,      Gross output of nonprofit institutions \2\,2012_Q1,0.17,0.18,0.26,0.44,0.01,0.09,0.27,0.08,0.01,0.09,0.08,0.13,0.44,0.27,0.18,2012,1,2012-01-01
738,24,DNPERY2,      Gross output of nonprofit institutions \2\,2012_Q2,0.23,0.16,0.05,0.08,-0.07,-0.18,-0.15,-0.11,0.07,0.18,0.11,0.14,0.08,0.15,0.03,2012,4,2012-04-01
739,24,DNPERY2,      Gross output of nonprofit institutions \2\,2012_Q3,0.02,0.03,0.35,0.27,0.01,0.33,0.25,0.32,0.01,0.33,0.32,0.16,0.27,0.25,0.08,2012,7,2012-07-01
740,24,DNPERY2,      Gross output of nonprofit institutions \2\,2012_Q4,0.26,0.28,-0.02,0.05,0.02,-0.28,-0.21,-0.3,0.02,0.28,0.3,0.19,0.05,0.21,0.07,2012,10,2012-10-01
741,24,DNPERY2,      Gross output of nonprofit institutions \2\,2013_Q1,-0.03,-0.01,-0.12,-0.15,0.02,-0.09,-0.12,-0.11,0.02,0.09,0.11,0.19,0.15,0.12,0.03,2013,1,2013-01-01
742,24,DNPERY2,      Gross output of nonprofit institutions \2\,2013_Q2,0.0,0.0,0.25,0.27,0.0,0.25,0.27,0.25,0.0,0.25,0.25,0.21,0.27,0.27,0.02,2013,4,2013-04-01
743,24,DNPERY2,      Gross output of nonprofit institutions \2\,2013_Q3,0.05,0.06,0.15,0.09,0.01,0.1,0.04,0.09,0.01,0.1,0.09,0.17,0.09,0.04,0.06,2013,7,2013-07-01
744,24,DNPERY2,      Gross output of nonprofit institutions \2\,2013_Q4,0.16,0.16,0.42,0.31,0.0,0.26,0.15,0.26,0.0,0.26,0.26,0.2,0.31,0.15,0.11,2013,10,2013-10-01
745,24,DNPERY2,      Gross output of nonprofit institutions \2\,2014_Q1,0.43,0.39,-0.3,-0.44,-0.04,-0.73,-0.87,-0.69,0.04,0.73,0.69,0.28,0.44,0.87,0.14,2014,1,2014-01-01
746,24,DNPERY2,      Gross output of nonprofit institutions \2\,2014_Q2,0.05,0.02,0.34,0.36,-0.03,0.29,0.31,0.32,0.03,0.29,0.32,0.29,0.36,0.31,0.02,2014,4,2014-04-01
747,24,DNPERY2,      Gross output of nonprofit institutions \2\,2014_Q3,0.23,0.25,0.38,0.28,0.02,0.15,0.05,0.13,0.02,0.15,0.13,0.27,0.28,0.05,0.1,2014,7,2014-07-01
748,24,DNPERY2,      Gross output of nonprofit institutions \2\,2014_Q4,0.26,0.29,0.57,0.39,0.03,0.31,0.13,0.28,0.03,0.31,0.28,0.27,0.39,0.13,0.18,2014,10,2014-10-01
749,24,DNPERY2,      Gross output of nonprofit institutions \2\,2015_Q1,0.11,0.12,0.06,0.05,0.01,-0.05,-0.06,-0.06,0.01,0.05,0.06,0.27,0.05,0.06,0.01,2015,1,2015-01-01
750,24,DNPERY2,      Gross output of nonprofit institutions \2\,2015_Q2,0.09,0.11,0.05,0.05,0.02,-0.04,-0.04,-0.06,0.02,0.04,0.06,0.24,0.05,0.04,0.0,2015,4,2015-04-01
751,24,DNPERY2,      Gross output of nonprofit institutions \2\,2015_Q3,0.19,0.21,0.11,0.11,0.02,-0.08,-0.08,-0.1,0.02,0.08,0.1,0.24,0.11,0.08,0.0,2015,7,2015-07-01
752,24,DNPERY2,      Gross output of nonprofit institutions \2\,2015_Q4,0.31,0.31,0.2,0.2,0.0,-0.11,-0.11,-0.11,0.0,0.11,0.11,0.22,0.2,0.11,0.0,2015,10,2015-10-01
