,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
678,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2009_Q2,-0.14,-0.12,-0.21,-0.17,-0.02,0.07,0.03,0.09,0.02,0.07,0.09,0.07,0.17,0.03,0.04,2009,4,2009-04-01
679,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2009_Q3,-0.06,-0.02,0.13,0.01,-0.04,-0.19,-0.07,-0.15,0.04,0.19,0.15,0.13,0.01,0.07,0.12,2009,7,2009-07-01
680,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2009_Q4,0.09,0.07,0.11,0.16,0.02,-0.02,-0.07,-0.04,0.02,0.02,0.04,0.09,0.16,0.07,0.05,2009,10,2009-10-01
681,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2010_Q1,0.15,0.13,0.08,0.0,0.02,0.07,0.15,0.05,0.02,0.07,0.05,0.09,0.0,0.15,0.08,2010,1,2010-01-01
682,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2010_Q2,0.07,0.07,0.06,0.07,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.07,0.07,0.0,0.01,2010,4,2010-04-01
683,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2010_Q3,0.08,0.07,0.02,-0.11,0.01,0.06,0.19,0.05,0.01,0.06,0.05,0.07,0.11,0.19,0.13,2010,7,2010-07-01
684,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2010_Q4,0.02,0.04,-0.12,-0.07,-0.02,0.14,0.09,0.16,0.02,0.14,0.16,0.08,0.07,0.09,0.05,2010,10,2010-10-01
685,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2011_Q1,-0.08,-0.07,-0.12,-0.06,-0.01,0.04,-0.02,0.05,0.01,0.04,0.05,0.08,0.06,0.02,0.06,2011,1,2011-01-01
686,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2011_Q2,0.0,-0.01,0.01,0.02,0.01,-0.01,-0.02,-0.02,0.01,0.01,0.02,0.07,0.02,0.02,0.01,2011,4,2011-04-01
687,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2011_Q3,-0.05,0.01,0.18,0.18,-0.06,-0.23,-0.23,-0.17,0.06,0.23,0.17,0.07,0.18,0.23,0.0,2011,7,2011-07-01
688,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2011_Q4,0.09,0.09,-0.01,-0.12,0.0,0.1,0.21,0.1,0.0,0.1,0.1,0.08,0.12,0.21,0.11,2011,10,2011-10-01
689,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2012_Q1,0.09,0.11,-0.01,0.15,-0.02,0.1,-0.06,0.12,0.02,0.1,0.12,0.09,0.15,0.06,0.16,2012,1,2012-01-01
690,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2012_Q2,0.1,0.06,0.29,0.35,0.04,-0.19,-0.25,-0.23,0.04,0.19,0.23,0.11,0.35,0.25,0.06,2012,4,2012-04-01
691,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2012_Q3,0.19,0.2,-0.08,0.02,-0.01,0.27,0.17,0.28,0.01,0.27,0.28,0.13,0.02,0.17,0.1,2012,7,2012-07-01
692,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2012_Q4,0.04,0.07,-0.02,0.26,-0.03,0.06,-0.22,0.09,0.03,0.06,0.09,0.12,0.26,0.22,0.28,2012,10,2012-10-01
693,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2013_Q1,-0.12,-0.1,-0.26,-0.19,-0.02,0.14,0.07,0.16,0.02,0.14,0.16,0.14,0.19,0.07,0.07,2013,1,2013-01-01
694,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2013_Q2,-0.22,-0.22,-0.07,-0.05,0.0,-0.15,-0.17,-0.15,0.0,0.15,0.15,0.15,0.05,0.17,0.02,2013,4,2013-04-01
695,23,DNPIRY2,    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\,2013_Q3,0.04,0.04,0.08,0.09,0.0,-0.04,-0.05,-0.04,0.0,0.04,0.04,0.13,0.09,0.05,0.01,2013,7,2013-07-01
