,line,code,description,date,ADVANCE,SECOND,THIRD,current,adv_less_second,adv_less_third,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_adv_less_current,abs_third_less_current
753,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2009_Q2,0.06,0.07,0.22,0.23,-0.010000000000000009,-0.16,-0.15,0.010000000000000009,0.16,0.15,0.16,0.17,0.010000000000000009
754,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2009_Q3,0.07,0.07,-0.17,0.09,0.0,0.24000000000000002,0.24000000000000002,0.0,0.24000000000000002,0.24000000000000002,0.2,0.01999999999999999,0.26
755,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2009_Q4,0.01,0.03,0.0,-0.15,-0.019999999999999997,0.01,0.03,0.019999999999999997,0.01,0.03,0.1366666666666667,0.16,0.15
756,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2010_Q1,0.05,0.06,-0.04,-0.08,-0.009999999999999995,0.09,0.1,0.009999999999999995,0.09,0.1,0.125,0.13,0.04
757,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2010_Q2,0.03,0.04,0.18,0.25,-0.010000000000000002,-0.15,-0.13999999999999999,0.010000000000000002,0.15,0.13999999999999999,0.13,0.22,0.07
758,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2010_Q3,0.19,0.21,0.07,0.29,-0.01999999999999999,0.12,0.13999999999999999,0.01999999999999999,0.12,0.13999999999999999,0.12833333333333333,0.09999999999999998,0.21999999999999997
759,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2010_Q4,0.21,0.19,0.37,0.24,0.01999999999999999,-0.16,-0.18,0.01999999999999999,0.16,0.18,0.13285714285714287,0.03,0.13
760,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2011_Q1,0.17,0.16,0.09,-0.04,0.010000000000000009,0.08000000000000002,0.07,0.010000000000000009,0.08000000000000002,0.07,0.12625,0.21000000000000002,0.13
761,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2011_Q2,0.04,0.12,0.09,0.05,-0.07999999999999999,-0.049999999999999996,0.03,0.07999999999999999,0.049999999999999996,0.03,0.1125,0.010000000000000002,0.039999999999999994
762,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2011_Q3,0.42,0.42,-0.2,-0.21,0.0,0.62,0.62,0.0,0.62,0.62,0.16,0.63,0.009999999999999981
763,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2011_Q4,0.08,0.05,0.25,0.38,0.03,-0.16999999999999998,-0.2,0.03,0.16999999999999998,0.2,0.18,0.3,0.13
764,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2012_Q1,0.07,0.07,0.27,0.3,0.0,-0.2,-0.2,0.0,0.2,0.2,0.19374999999999998,0.22999999999999998,0.02999999999999997
765,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2012_Q2,0.13,0.11,-0.24,-0.26,0.020000000000000004,0.37,0.35,0.020000000000000004,0.37,0.35,0.22125,0.39,0.020000000000000018
766,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2012_Q3,-0.16,-0.17,0.43,0.25,0.010000000000000009,-0.59,-0.6,0.010000000000000009,0.59,0.6,0.27999999999999997,0.41000000000000003,0.18
767,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2012_Q4,0.22,0.2,0.0,-0.21,0.01999999999999999,0.22,0.2,0.01999999999999999,0.22,0.2,0.2875,0.43,0.21
768,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2013_Q1,0.09,0.09,0.15,0.03,0.0,-0.06,-0.06,0.0,0.06,0.06,0.285,0.06,0.12
769,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2013_Q2,0.22,0.22,0.31,0.32,0.0,-0.09,-0.09,0.0,0.09,0.09,0.29,0.1,0.010000000000000009
770,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2013_Q3,0.01,0.02,0.07,0.0,-0.01,-0.060000000000000005,-0.05,0.01,0.060000000000000005,0.05,0.21999999999999997,0.01,0.07
771,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2013_Q4,0.11,0.13,0.46,0.17,-0.020000000000000004,-0.35000000000000003,-0.33,0.020000000000000004,0.35000000000000003,0.33,0.2425,0.06000000000000001,0.29000000000000004
772,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2014_Q1,0.46,0.42,-0.3,-0.4,0.040000000000000036,0.76,0.72,0.040000000000000036,0.76,0.72,0.3125,0.8600000000000001,0.10000000000000003
773,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2014_Q2,-0.1,-0.12,0.27,0.33,0.01999999999999999,-0.37,-0.39,0.01999999999999999,0.37,0.39,0.3125,0.43000000000000005,0.06
774,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2014_Q3,0.13,0.15,0.23,0.2,-0.01999999999999999,-0.1,-0.08000000000000002,0.01999999999999999,0.1,0.08000000000000002,0.25125000000000003,0.07,0.03
775,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2014_Q4,0.34,0.34,0.64,0.45,0.0,-0.3,-0.3,0.0,0.3,0.3,0.26125,0.10999999999999999,0.19
776,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2015_Q1,0.33,0.32,0.22,0.2,0.010000000000000009,0.11000000000000001,0.1,0.010000000000000009,0.11000000000000001,0.1,0.26749999999999996,0.13,0.01999999999999999
777,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2015_Q2,0.17,0.14,0.02,0.02,0.03,0.15000000000000002,0.12000000000000001,0.03,0.15000000000000002,0.12000000000000001,0.27499999999999997,0.15000000000000002,0.0
778,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2015_Q3,0.2,0.2,-0.14,-0.14,0.0,0.34,0.34,0.0,0.34,0.34,0.30999999999999994,0.34,0.0
779,25,DNPSRY2,      Less: Receipts from sales of goods and services by nonprofit institutions \3\,2015_Q4,0.19,0.17,0.01,0.01,0.01999999999999999,0.18,0.16,0.01999999999999999,0.18,0.16,0.28874999999999995,0.18,0.0
