,bea_code,category,date,ADVANCE,THIRD,abs_third,third_less_adv,abs_third_less_adv,line,year,month,date_t
1808,DONGRY2,Other nondurable goods - DONGRY2,2009_Q2,-0.45,-0.32,0.32,0.13,0.13,13,2009,4,2009-04-01
1809,DONGRY2,Other nondurable goods - DONGRY2,2009_Q3,0.04,0.07,0.07,0.03,0.03,13,2009,7,2009-07-01
1810,DONGRY2,Other nondurable goods - DONGRY2,2009_Q4,0.33,0.25,0.25,-0.08,0.08,13,2009,10,2009-10-01
1811,DONGRY2,Other nondurable goods - DONGRY2,2010_Q1,0.18,0.18,0.18,0.0,0.0,13,2010,1,2010-01-01
1812,DONGRY2,Other nondurable goods - DONGRY2,2010_Q2,0.24,0.25,0.25,0.01,0.01,13,2010,4,2010-04-01
1813,DONGRY2,Other nondurable goods - DONGRY2,2010_Q3,0.2,0.25,0.25,0.05,0.05,13,2010,7,2010-07-01
1814,DONGRY2,Other nondurable goods - DONGRY2,2010_Q4,0.29,0.28,0.28,-0.01,0.01,13,2010,10,2010-10-01
1815,DONGRY2,Other nondurable goods - DONGRY2,2011_Q1,0.19,0.24,0.24,0.05,0.05,13,2011,1,2011-01-01
1816,DONGRY2,Other nondurable goods - DONGRY2,2011_Q2,0.14,0.16,0.16,0.02,0.02,13,2011,4,2011-04-01
1817,DONGRY2,Other nondurable goods - DONGRY2,2011_Q3,0.14,0.15,0.15,0.01,0.01,13,2011,7,2011-07-01
1818,DONGRY2,Other nondurable goods - DONGRY2,2011_Q4,0.21,0.19,0.19,-0.02,0.02,13,2011,10,2011-10-01
1819,DONGRY2,Other nondurable goods - DONGRY2,2012_Q1,0.25,0.22,0.22,-0.03,0.03,13,2012,1,2012-01-01
1820,DONGRY2,Other nondurable goods - DONGRY2,2012_Q2,0.02,0.02,0.02,0.0,0.0,13,2012,4,2012-04-01
1821,DONGRY2,Other nondurable goods - DONGRY2,2012_Q3,0.18,0.14,0.14,-0.04,0.04,13,2012,7,2012-07-01
1822,DONGRY2,Other nondurable goods - DONGRY2,2012_Q4,0.2,0.23,0.23,0.03,0.03,13,2012,10,2012-10-01
1823,DONGRY2,Other nondurable goods - DONGRY2,2013_Q1,0.18,0.18,0.18,0.0,0.0,13,2013,1,2013-01-01
1824,DONGRY2,Other nondurable goods - DONGRY2,2013_Q2,0.11,0.21,0.21,0.1,0.1,13,2013,4,2013-04-01
1825,DONGRY2,Other nondurable goods - DONGRY2,2013_Q3,0.37,0.33,0.33,-0.04,0.04,13,2013,7,2013-07-01
1826,DONGRY2,Other nondurable goods - DONGRY2,2013_Q4,0.28,0.21,0.21,-0.07,0.07,13,2013,10,2013-10-01
1827,DONGRY2,Other nondurable goods - DONGRY2,2014_Q1,0.06,0.05,0.05,-0.01,0.01,13,2014,1,2014-01-01
1828,DONGRY2,Other nondurable goods - DONGRY2,2014_Q2,0.41,0.37,0.37,-0.04,0.04,13,2014,4,2014-04-01
1829,DONGRY2,Other nondurable goods - DONGRY2,2014_Q3,0.27,0.34,0.34,0.07,0.07,13,2014,7,2014-07-01
1830,DONGRY2,Other nondurable goods - DONGRY2,2014_Q4,0.21,0.25,0.25,0.04,0.04,13,2014,10,2014-10-01
1831,DONGRY2,Other nondurable goods - DONGRY2,2015_Q1,0.05,0.06,0.06,0.01,0.01,13,2015,1,2015-01-01
1832,DONGRY2,Other nondurable goods - DONGRY2,2015_Q2,0.27,0.36,0.36,0.09,0.09,13,2015,4,2015-04-01
1833,DONGRY2,Other nondurable goods - DONGRY2,2015_Q3,0.41,0.48,0.48,0.07,0.07,13,2015,7,2015-07-01
1834,DONGRY2,Other nondurable goods - DONGRY2,2015_Q4,0.27,0.14,0.14,-0.13,0.13,13,2015,10,2015-10-01
