,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv,line,year,month,date_t
1835,DOTSRY2,Other services - DOTSRY2,2009_Q2,0.0,0.01,0.01,0.01,0.01,0.01,22,2009,4,2009-04-01
1836,DOTSRY2,Other services - DOTSRY2,2009_Q3,0.1,0.07,0.07,0.07,-0.03,0.03,22,2009,7,2009-07-01
1837,DOTSRY2,Other services - DOTSRY2,2009_Q4,0.02,-0.02,0.02,0.02,-0.04,0.04,22,2009,10,2009-10-01
1838,DOTSRY2,Other services - DOTSRY2,2010_Q1,0.04,0.01,0.01,0.01,-0.03,0.03,22,2010,1,2010-01-01
1839,DOTSRY2,Other services - DOTSRY2,2010_Q2,0.04,-0.05,0.05,0.05,-0.09,0.09,22,2010,4,2010-04-01
1840,DOTSRY2,Other services - DOTSRY2,2010_Q3,0.16,0.11,0.11,0.11,-0.05,0.05,22,2010,7,2010-07-01
1841,DOTSRY2,Other services - DOTSRY2,2010_Q4,-0.01,0.11,0.11,0.11,0.12,0.12,22,2010,10,2010-10-01
1842,DOTSRY2,Other services - DOTSRY2,2011_Q1,0.08,0.01,0.01,0.01,-0.07,0.07,22,2011,1,2011-01-01
1843,DOTSRY2,Other services - DOTSRY2,2011_Q2,0.03,0.09,0.09,0.09,0.06,0.06,22,2011,4,2011-04-01
1844,DOTSRY2,Other services - DOTSRY2,2011_Q3,0.09,-0.05,0.05,0.05,-0.14,0.14,22,2011,7,2011-07-01
1845,DOTSRY2,Other services - DOTSRY2,2011_Q4,0.09,0.31,0.31,0.31,0.22,0.22,22,2011,10,2011-10-01
1846,DOTSRY2,Other services - DOTSRY2,2012_Q1,0.11,-0.02,0.02,0.02,-0.13,0.13,22,2012,1,2012-01-01
1847,DOTSRY2,Other services - DOTSRY2,2012_Q2,0.02,-0.01,0.01,0.01,-0.03,0.03,22,2012,4,2012-04-01
1848,DOTSRY2,Other services - DOTSRY2,2012_Q3,0.02,0.03,0.03,0.03,0.01,0.01,22,2012,7,2012-07-01
1849,DOTSRY2,Other services - DOTSRY2,2012_Q4,0.02,0.09,0.09,0.09,0.07,0.07,22,2012,10,2012-10-01
1850,DOTSRY2,Other services - DOTSRY2,2013_Q1,0.22,-0.21,0.21,0.21,-0.43,0.43,22,2013,1,2013-01-01
1851,DOTSRY2,Other services - DOTSRY2,2013_Q2,0.08,-0.02,0.02,0.02,-0.1,0.1,22,2013,4,2013-04-01
1852,DOTSRY2,Other services - DOTSRY2,2013_Q3,0.08,0.06,0.06,0.06,-0.02,0.02,22,2013,7,2013-07-01
1853,DOTSRY2,Other services - DOTSRY2,2013_Q4,0.08,0.1,0.1,0.1,0.02,0.02,22,2013,10,2013-10-01
1854,DOTSRY2,Other services - DOTSRY2,2014_Q1,0.08,0.01,0.01,0.01,-0.07,0.07,22,2014,1,2014-01-01
1855,DOTSRY2,Other services - DOTSRY2,2014_Q2,0.15,-0.07,0.07,0.07,-0.22,0.22,22,2014,4,2014-04-01
1856,DOTSRY2,Other services - DOTSRY2,2014_Q3,0.01,0.06,0.06,0.06,0.05,0.05,22,2014,7,2014-07-01
1857,DOTSRY2,Other services - DOTSRY2,2014_Q4,0.14,0.23,0.23,0.23,0.09,0.09,22,2014,10,2014-10-01
1858,DOTSRY2,Other services - DOTSRY2,2015_Q1,0.05,-0.08,0.08,0.08,-0.13,0.13,22,2015,1,2015-01-01
1859,DOTSRY2,Other services - DOTSRY2,2015_Q2,0.19,0.32,0.32,0.32,0.13,0.13,22,2015,4,2015-04-01
1860,DOTSRY2,Other services - DOTSRY2,2015_Q3,0.22,0.1,0.1,0.1,-0.12,0.12,22,2015,7,2015-07-01
1861,DOTSRY2,Other services - DOTSRY2,2015_Q4,0.16,0.15,0.15,0.15,-0.01,0.01,22,2015,10,2015-10-01
