,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
48,2,DPCERY2,Personal consumption expenditures,2009_Q2,-0.88,-0.69,-0.62,-1.19,-0.19,-0.26,0.31,-0.07,0.19,0.26,0.07,0.26,1.19,0.31,0.57,2009,4,2009-04-01
49,2,DPCERY2,Personal consumption expenditures,2009_Q3,2.36,2.07,1.96,1.68,0.29,0.4,0.68,0.11,0.29,0.4,0.11,0.33,1.68,0.68,0.28,2009,7,2009-07-01
50,2,DPCERY2,Personal consumption expenditures,2009_Q4,1.44,1.23,1.16,-0.01,0.21,0.28,1.45,0.07,0.21,0.28,0.07,0.31,0.01,1.45,1.17,2009,10,2009-10-01
51,2,DPCERY2,Personal consumption expenditures,2010_Q1,2.55,2.42,2.13,1.46,0.13,0.42,1.09,0.29,0.13,0.42,0.29,0.34,1.46,1.09,0.67,2010,1,2010-01-01
52,2,DPCERY2,Personal consumption expenditures,2010_Q2,1.15,1.38,1.54,2.23,-0.23,-0.39,-1.08,-0.16,0.23,0.39,0.16,0.35,2.23,1.08,0.69,2010,4,2010-04-01
53,2,DPCERY2,Personal consumption expenditures,2010_Q3,1.79,1.97,1.67,1.77,-0.18,0.12,0.02,0.3,0.18,0.12,0.3,0.31,1.77,0.02,0.1,2010,7,2010-07-01
54,2,DPCERY2,Personal consumption expenditures,2010_Q4,3.04,2.88,2.79,2.79,0.16,0.25,0.25,0.09,0.16,0.25,0.09,0.3,2.79,0.25,0.0,2010,10,2010-10-01
55,2,DPCERY2,Personal consumption expenditures,2011_Q1,1.91,1.53,1.52,1.38,0.38,0.39,0.53,0.01,0.38,0.39,0.01,0.31,1.38,0.53,0.14,2011,1,2011-01-01
56,2,DPCERY2,Personal consumption expenditures,2011_Q2,0.07,0.3,0.49,0.57,-0.23,-0.42,-0.5,-0.19,0.23,0.42,0.19,0.33,0.57,0.5,0.08,2011,4,2011-04-01
57,2,DPCERY2,Personal consumption expenditures,2011_Q3,1.72,1.63,1.24,1.2,0.09,0.48,0.52,0.39,0.09,0.48,0.39,0.34,1.2,0.52,0.04,2011,7,2011-07-01
58,2,DPCERY2,Personal consumption expenditures,2011_Q4,1.45,1.52,1.47,0.94,-0.07,-0.02,0.51,0.05,0.07,0.02,0.05,0.31,0.94,0.51,0.53,2011,10,2011-10-01
59,2,DPCERY2,Personal consumption expenditures,2012_Q1,2.04,1.9,1.74,1.63,0.14,0.3,0.41,0.16,0.14,0.3,0.16,0.3,1.63,0.41,0.11,2012,1,2012-01-01
60,2,DPCERY2,Personal consumption expenditures,2012_Q2,1.05,1.2,1.06,0.45,-0.15,-0.01,0.6,0.14,0.15,0.01,0.14,0.25,0.45,0.6,0.61,2012,4,2012-04-01
61,2,DPCERY2,Personal consumption expenditures,2012_Q3,1.42,0.99,1.12,0.72,0.43,0.3,0.7,-0.13,0.43,0.3,0.13,0.27,0.72,0.7,0.4,2012,7,2012-07-01
62,2,DPCERY2,Personal consumption expenditures,2012_Q4,1.52,1.47,1.28,0.78,0.05,0.24,0.74,0.19,0.05,0.24,0.19,0.27,0.78,0.74,0.5,2012,10,2012-10-01
63,2,DPCERY2,Personal consumption expenditures,2013_Q1,2.24,2.4,1.83,1.74,-0.16,0.41,0.5,0.57,0.16,0.41,0.57,0.27,1.74,0.5,0.09,2013,1,2013-01-01
64,2,DPCERY2,Personal consumption expenditures,2013_Q2,1.22,1.21,1.24,0.96,0.01,-0.02,0.26,-0.03,0.01,0.02,0.03,0.22,0.96,0.26,0.28,2013,4,2013-04-01
65,2,DPCERY2,Personal consumption expenditures,2013_Q3,1.04,0.96,1.36,1.17,0.08,-0.32,-0.13,-0.4,0.08,0.32,0.4,0.2,1.17,0.13,0.19,2013,7,2013-07-01
66,2,DPCERY2,Personal consumption expenditures,2013_Q4,2.26,1.73,2.22,2.36,0.53,0.04,-0.1,-0.49,0.53,0.04,0.49,0.2,2.36,0.1,0.14,2013,10,2013-10-01
