,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
7522,DRCARY2,Recreation services - DRCARY2,Recreation services,2009_Q2,-0.02,-0.04,0.04,0.04,-0.02,0.02,0.02,19.0,2009,4,2009-04-01
7523,DRCARY2,Recreation services - DRCARY2,Recreation services,2009_Q3,-0.09,-0.08,0.08,0.08,0.01,0.01,0.01,19.0,2009,7,2009-07-01
7524,DRCARY2,Recreation services - DRCARY2,Recreation services,2009_Q4,0.01,0.0,0.0,0.0,-0.01,0.01,0.01,19.0,2009,10,2009-10-01
7525,DRCARY2,Recreation services - DRCARY2,Recreation services,2010_Q1,0.08,0.02,0.02,0.02,-0.06,0.06,0.06,19.0,2010,1,2010-01-01
7526,DRCARY2,Recreation services - DRCARY2,Recreation services,2010_Q2,-0.12,-0.01,0.01,0.01,0.11,0.11,0.11,19.0,2010,4,2010-04-01
7527,DRCARY2,Recreation services - DRCARY2,Recreation services,2010_Q3,0.13,0.11,0.11,0.11,-0.02,0.02,0.02,19.0,2010,7,2010-07-01
7528,DRCARY2,Recreation services - DRCARY2,Recreation services,2010_Q4,-0.01,-0.05,0.05,0.05,-0.04,0.04,0.04,19.0,2010,10,2010-10-01
7529,DRCARY2,Recreation services - DRCARY2,Recreation services,2011_Q1,0.01,-0.06,0.06,0.06,-0.07,0.07,0.07,19.0,2011,1,2011-01-01
7530,DRCARY2,Recreation services - DRCARY2,Recreation services,2011_Q2,0.07,0.23,0.23,0.23,0.16,0.16,0.16,19.0,2011,4,2011-04-01
7531,DRCARY2,Recreation services - DRCARY2,Recreation services,2011_Q3,0.08,0.19,0.19,0.19,0.11,0.11,0.11,19.0,2011,7,2011-07-01
7532,DRCARY2,Recreation services - DRCARY2,Recreation services,2011_Q4,0.07,-0.04,0.04,0.04,-0.11,0.11,0.11,19.0,2011,10,2011-10-01
7533,DRCARY2,Recreation services - DRCARY2,Recreation services,2012_Q1,0.07,-0.13,0.13,0.13,-0.2,0.2,0.2,19.0,2012,1,2012-01-01
7534,DRCARY2,Recreation services - DRCARY2,Recreation services,2012_Q2,0.0,0.07,0.07,0.07,0.07,0.07,0.07,19.0,2012,4,2012-04-01
7535,DRCARY2,Recreation services - DRCARY2,Recreation services,2012_Q3,0.12,0.02,0.02,0.02,-0.1,0.1,0.1,19.0,2012,7,2012-07-01
7536,DRCARY2,Recreation services - DRCARY2,Recreation services,2012_Q4,0.01,-0.03,0.03,0.03,-0.04,0.04,0.04,19.0,2012,10,2012-10-01
7537,DRCARY2,Recreation services - DRCARY2,Recreation services,2013_Q1,0.11,0.06,0.06,0.06,-0.05,0.05,0.05,19.0,2013,1,2013-01-01
7538,DRCARY2,Recreation services - DRCARY2,Recreation services,2013_Q2,0.07,-0.02,0.02,0.02,-0.09,0.09,0.09,19.0,2013,4,2013-04-01
7539,DRCARY2,Recreation services - DRCARY2,Recreation services,2013_Q3,0.05,0.1,0.1,0.1,0.05,0.05,0.05,19.0,2013,7,2013-07-01
7540,DRCARY2,Recreation services - DRCARY2,Recreation services,2013_Q4,0.01,0.01,0.01,0.01,0.0,0.0,0.0,19.0,2013,10,2013-10-01
7541,DRCARY2,Recreation services - DRCARY2,Recreation services,2014_Q1,-0.1,-0.06,0.06,0.06,0.04,0.04,0.04,19.0,2014,1,2014-01-01
7542,DRCARY2,Recreation services - DRCARY2,Recreation services,2014_Q2,0.07,-0.05,0.05,0.05,-0.12,0.12,0.12,19.0,2014,4,2014-04-01
7543,DRCARY2,Recreation services - DRCARY2,Recreation services,2014_Q3,-0.07,0.02,0.02,0.02,0.09,0.09,0.09,19.0,2014,7,2014-07-01
7544,DRCARY2,Recreation services - DRCARY2,Recreation services,2014_Q4,0.15,0.09,0.09,0.09,-0.06,0.06,0.06,19.0,2014,10,2014-10-01
7545,DRCARY2,Recreation services - DRCARY2,Recreation services,2015_Q1,0.0,-0.04,0.04,0.04,-0.04,0.04,0.04,19.0,2015,1,2015-01-01
7546,DRCARY2,Recreation services - DRCARY2,Recreation services,2015_Q2,0.09,0.06,0.06,0.06,-0.03,0.03,0.03,19.0,2015,4,2015-04-01
7547,DRCARY2,Recreation services - DRCARY2,Recreation services,2015_Q3,-0.06,0.0,0.0,0.0,0.06,0.06,0.06,19.0,2015,7,2015-07-01
7548,DRCARY2,Recreation services - DRCARY2,Recreation services,2015_Q4,0.15,0.35,0.35,0.35,0.2,0.2,0.2,19.0,2015,10,2015-10-01
