,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
7635,DSERRY2,Services,Electricity and gas,2004_Q1,0.15,0.13,0.13,0.13,-0.02,0.02,0.02,14.0,2004,1,2004-01-01
7636,DSERRY2,Services,Housing,2004_Q1,0.22,0.24,0.24,0.24,0.02,0.02,0.02,14.0,2004,1,2004-01-01
7637,DSERRY2,Services,Medical care,2004_Q1,0.51,0.53,0.53,0.53,0.02,0.02,0.02,14.0,2004,1,2004-01-01
7638,DSERRY2,Services,Other,2004_Q1,0.66,0.49,0.49,0.49,-0.17,0.17,0.17,14.0,2004,1,2004-01-01
7639,DSERRY2,Services,Other household operation,2004_Q1,0.07,0.05,0.05,0.05,-0.02,0.02,0.02,14.0,2004,1,2004-01-01
7640,DSERRY2,Services,Recreation,2004_Q1,0.17,0.17,0.17,0.17,0.0,0.0,0.0,14.0,2004,1,2004-01-01
7641,DSERRY2,Services,Transportation,2004_Q1,-0.01,-0.01,0.01,0.01,0.0,0.0,0.0,14.0,2004,1,2004-01-01
7642,DSERRY2,Services,Electricity and gas,2004_Q2,-0.3,-0.13,0.13,0.13,0.17,0.17,0.17,14.0,2004,4,2004-04-01
7643,DSERRY2,Services,Housing,2004_Q2,0.21,0.21,0.21,0.21,0.0,0.0,0.0,14.0,2004,4,2004-04-01
7644,DSERRY2,Services,Medical care,2004_Q2,0.57,0.52,0.52,0.52,-0.05,0.05,0.05,14.0,2004,4,2004-04-01
7645,DSERRY2,Services,Other,2004_Q2,0.31,0.32,0.32,0.32,0.01,0.01,0.01,14.0,2004,4,2004-04-01
7646,DSERRY2,Services,Other household operation,2004_Q2,0.12,0.09,0.09,0.09,-0.03,0.03,0.03,14.0,2004,4,2004-04-01
7647,DSERRY2,Services,Recreation,2004_Q2,0.0,0.01,0.01,0.01,0.01,0.01,0.01,14.0,2004,4,2004-04-01
7648,DSERRY2,Services,Transportation,2004_Q2,0.06,0.08,0.08,0.08,0.02,0.02,0.02,14.0,2004,4,2004-04-01
7649,DSERRY2,Services,Electricity and gas,2004_Q3,-0.1,-0.01,0.01,0.01,0.09,0.09,0.09,14.0,2004,7,2004-07-01
7650,DSERRY2,Services,Housing,2004_Q3,0.25,0.25,0.25,0.25,0.0,0.0,0.0,14.0,2004,7,2004-07-01
7651,DSERRY2,Services,Medical care,2004_Q3,0.56,0.59,0.59,0.59,0.03,0.03,0.03,14.0,2004,7,2004-07-01
7652,DSERRY2,Services,Other,2004_Q3,0.25,0.24,0.24,0.24,-0.01,0.01,0.01,14.0,2004,7,2004-07-01
7653,DSERRY2,Services,Other household operation,2004_Q3,0.04,0.06,0.06,0.06,0.02,0.02,0.02,14.0,2004,7,2004-07-01
7654,DSERRY2,Services,Recreation,2004_Q3,0.05,0.08,0.08,0.08,0.03,0.03,0.03,14.0,2004,7,2004-07-01
7655,DSERRY2,Services,Transportation,2004_Q3,0.04,0.04,0.04,0.04,0.0,0.0,0.0,14.0,2004,7,2004-07-01
7656,DSERRY2,Services,Electricity and gas,2004_Q4,0.2,0.18,0.18,0.18,-0.02,0.02,0.02,14.0,2004,10,2004-10-01
7657,DSERRY2,Services,Housing,2004_Q4,0.21,0.24,0.24,0.24,0.03,0.03,0.03,14.0,2004,10,2004-10-01
7658,DSERRY2,Services,Medical care,2004_Q4,0.48,0.5,0.5,0.5,0.02,0.02,0.02,14.0,2004,10,2004-10-01
7659,DSERRY2,Services,Other,2004_Q4,0.5,0.39,0.39,0.39,-0.11,0.11,0.11,14.0,2004,10,2004-10-01
7660,DSERRY2,Services,Other household operation,2004_Q4,0.05,0.02,0.02,0.02,-0.03,0.03,0.03,14.0,2004,10,2004-10-01
7661,DSERRY2,Services,Recreation,2004_Q4,0.0,-0.04,0.04,0.04,-0.04,0.04,0.04,14.0,2004,10,2004-10-01
7662,DSERRY2,Services,Transportation,2004_Q4,0.08,0.11,0.11,0.11,0.03,0.03,0.03,14.0,2004,10,2004-10-01
7663,DSERRY2,Services,Electricity and gas,2005_Q1,0.1,-0.01,0.01,0.01,-0.11,0.11,0.11,14.0,2005,1,2005-01-01
7664,DSERRY2,Services,Housing,2005_Q1,0.26,0.26,0.26,0.26,0.0,0.0,0.0,14.0,2005,1,2005-01-01
7665,DSERRY2,Services,Medical care,2005_Q1,0.54,0.55,0.55,0.55,0.01,0.01,0.01,14.0,2005,1,2005-01-01
7666,DSERRY2,Services,Other,2005_Q1,0.33,0.2,0.2,0.2,-0.13,0.13,0.13,14.0,2005,1,2005-01-01
7667,DSERRY2,Services,Other household operation,2005_Q1,0.06,0.07,0.07,0.07,0.01,0.01,0.01,14.0,2005,1,2005-01-01
