,bea_code,category,date,ADVANCE,THIRD,abs_third,third_less_adv,abs_third_less_adv,line,year,month,date_t
2317,DTRSRY2,Transportation services - DTRSRY2,2009_Q2,0.0,0.02,0.02,0.02,0.02,18,2009,4,2009-04-01
2318,DTRSRY2,Transportation services - DTRSRY2,2009_Q3,0.08,0.08,0.08,0.0,0.0,18,2009,7,2009-07-01
2319,DTRSRY2,Transportation services - DTRSRY2,2009_Q4,0.02,0.02,0.02,0.0,0.0,18,2009,10,2009-10-01
2320,DTRSRY2,Transportation services - DTRSRY2,2010_Q1,0.0,-0.02,0.02,-0.02,0.02,18,2010,1,2010-01-01
2321,DTRSRY2,Transportation services - DTRSRY2,2010_Q2,0.1,0.08,0.08,-0.02,0.02,18,2010,4,2010-04-01
2322,DTRSRY2,Transportation services - DTRSRY2,2010_Q3,0.08,0.08,0.08,0.0,0.0,18,2010,7,2010-07-01
2323,DTRSRY2,Transportation services - DTRSRY2,2010_Q4,0.04,0.01,0.01,-0.03,0.03,18,2010,10,2010-10-01
2324,DTRSRY2,Transportation services - DTRSRY2,2011_Q1,-0.06,-0.02,0.02,0.04,0.04,18,2011,1,2011-01-01
2325,DTRSRY2,Transportation services - DTRSRY2,2011_Q2,0.01,0.0,0.0,-0.01,0.01,18,2011,4,2011-04-01
2326,DTRSRY2,Transportation services - DTRSRY2,2011_Q3,-0.01,0.01,0.01,0.02,0.02,18,2011,7,2011-07-01
2327,DTRSRY2,Transportation services - DTRSRY2,2011_Q4,0.01,0.0,0.0,-0.01,0.01,18,2011,10,2011-10-01
2328,DTRSRY2,Transportation services - DTRSRY2,2012_Q1,0.03,0.04,0.04,0.01,0.01,18,2012,1,2012-01-01
2329,DTRSRY2,Transportation services - DTRSRY2,2012_Q2,0.02,0.06,0.06,0.04,0.04,18,2012,4,2012-04-01
2330,DTRSRY2,Transportation services - DTRSRY2,2012_Q3,0.01,0.03,0.03,0.02,0.02,18,2012,7,2012-07-01
2331,DTRSRY2,Transportation services - DTRSRY2,2012_Q4,0.03,0.01,0.01,-0.02,0.02,18,2012,10,2012-10-01
2332,DTRSRY2,Transportation services - DTRSRY2,2013_Q1,0.07,0.05,0.05,-0.02,0.02,18,2013,1,2013-01-01
2333,DTRSRY2,Transportation services - DTRSRY2,2013_Q2,0.04,0.0,0.0,-0.04,0.04,18,2013,4,2013-04-01
2334,DTRSRY2,Transportation services - DTRSRY2,2013_Q3,0.02,-0.04,0.04,-0.06,0.06,18,2013,7,2013-07-01
2335,DTRSRY2,Transportation services - DTRSRY2,2013_Q4,0.02,0.04,0.04,0.02,0.02,18,2013,10,2013-10-01
2336,DTRSRY2,Transportation services - DTRSRY2,2014_Q1,0.04,0.03,0.03,-0.01,0.01,18,2014,1,2014-01-01
2337,DTRSRY2,Transportation services - DTRSRY2,2014_Q2,0.05,0.07,0.07,0.02,0.02,18,2014,4,2014-04-01
2338,DTRSRY2,Transportation services - DTRSRY2,2014_Q3,0.04,0.05,0.05,0.01,0.01,18,2014,7,2014-07-01
2339,DTRSRY2,Transportation services - DTRSRY2,2014_Q4,0.06,0.07,0.07,0.01,0.01,18,2014,10,2014-10-01
2340,DTRSRY2,Transportation services - DTRSRY2,2015_Q1,0.07,0.13,0.13,0.06,0.06,18,2015,1,2015-01-01
2341,DTRSRY2,Transportation services - DTRSRY2,2015_Q2,0.07,0.14,0.14,0.07,0.07,18,2015,4,2015-04-01
2342,DTRSRY2,Transportation services - DTRSRY2,2015_Q3,0.12,0.08,0.08,-0.04,0.04,18,2015,7,2015-07-01
2343,DTRSRY2,Transportation services - DTRSRY2,2015_Q4,0.05,0.14,0.14,0.09,0.09,18,2015,10,2015-10-01
