code,date,value
A191RL1,1/1/2004,1.9
A006RY2,1/1/2004,1.05
A007RY2,1/1/2004,1.07
A008RY2,1/1/2004,1.23
A009RY2,1/1/2004,0.06
B935RY2,1/1/2004,0.17
B985RY2,1/1/2004,0.15
A937RY2,1/1/2004,0.28
A680RY2,1/1/2004,0.25
A681RY2,1/1/2004,0.1
A862RY2,1/1/2004,0.19
A011RY2,1/1/2004,0.16
A014RY2,1/1/2004,0.03
B018RY2,1/1/2004,0.29
A015RY2,1/1/2004,0.26
A019RY2,1/1/2004,0.6
A020RY2,1/1/2004,0.8
A253RY2,1/1/2004,0.24
A646RY2,1/1/2004,0.56
A021RY2,1/1/2004,1.42
A255RY2,1/1/2004,1.05
A656RY2,1/1/2004,0.36
A822RY2,1/1/2004,0.16
A823RY2,1/1/2004,0.47
A824RY2,1/1/2004,0.51
A997RY2,1/1/2004,0.25
A788RY2,1/1/2004,0.25
A825RY2,1/1/2004,0.03
A542RY2,1/1/2004,0.01
A798RY2,1/1/2004,0.03
A829RY2,1/1/2004,0.31
A991RY2,1/1/2004,0.02
A799RY2,1/1/2004,0.28
A191RL1,4/1/2004,0
A006RY2,4/1/2004,0.63
A007RY2,4/1/2004,0.14
A008RY2,4/1/2004,0.19
A009RY2,4/1/2004,0.07
B935RY2,4/1/2004,0.14
B985RY2,4/1/2004,0.09
A937RY2,4/1/2004,0.02
A680RY2,4/1/2004,0.13
A681RY2,4/1/2004,0.31
A862RY2,4/1/2004,0.01
A011RY2,4/1/2004,0.06
A014RY2,4/1/2004,0.51
B018RY2,4/1/2004,0.43
A015RY2,4/1/2004,0.07
A019RY2,4/1/2004,1.76
A020RY2,4/1/2004,0.76
A253RY2,4/1/2004,0.56
A646RY2,4/1/2004,0.2
A021RY2,4/1/2004,1
A255RY2,4/1/2004,0.92
A656RY2,4/1/2004,0.08
A822RY2,4/1/2004,0.01
A823RY2,4/1/2004,0.1
A824RY2,4/1/2004,0.11
A997RY2,4/1/2004,0.06
A788RY2,4/1/2004,0.17
A825RY2,4/1/2004,0.01
A542RY2,4/1/2004,0.06
