,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,abs_adv,abs_second,abs_third,second_less_adv,third_less_adv,current_less_adv,third_less_second,abs_second_less_adv,abs_third_less_adv,abs_third_less_second,abs_two_year,abs_current,abs_current_less_adv,abs_current_less_third,year,month,date_t
1292,37,Y001RY2,      Intellectual property products,2013_Q2,0.15,-0.04,-0.06,-0.13,0.15,0.04,0.06,-0.19,-0.21,-0.28,-0.02,0.19,0.21,0.02,0.21,0.13,0.28,0.07,2013,4,2013-04-01
1293,37,Y001RY2,      Intellectual property products,2013_Q3,0.09,0.07,0.22,0.2,0.09,0.07,0.22,-0.02,0.13,0.11,0.15,0.02,0.13,0.15,0.17,0.2,0.11,0.02,2013,7,2013-07-01
1294,37,Y001RY2,      Intellectual property products,2013_Q4,0.12,0.3,0.15,0.13,0.12,0.3,0.15,0.18,0.03,0.01,-0.15,0.18,0.03,0.15,0.1233,0.13,0.01,0.02,2013,10,2013-10-01
1295,37,Y001RY2,      Intellectual property products,2014_Q1,0.06,0.19,0.24,0.3,0.06,0.19,0.24,0.13,0.18,0.24,0.05,0.13,0.18,0.05,0.1375,0.3,0.24,0.06,2014,1,2014-01-01
1296,37,Y001RY2,      Intellectual property products,2014_Q2,0.14,0.17,0.21,0.19,0.14,0.17,0.21,0.03,0.07,0.05,0.04,0.03,0.07,0.04,0.124,0.19,0.05,0.02,2014,4,2014-04-01
1297,37,Y001RY2,      Intellectual property products,2014_Q3,0.16,0.24,0.34,0.25,0.16,0.24,0.34,0.08,0.18,0.09,0.1,0.08,0.18,0.1,0.1333,0.25,0.09,0.09,2014,7,2014-07-01
1298,37,Y001RY2,      Intellectual property products,2014_Q4,0.27,0.41,0.39,0.27,0.27,0.41,0.39,0.14,0.12,0.0,-0.02,0.14,0.12,0.02,0.1314,0.27,0.0,0.12,2014,10,2014-10-01
1299,37,Y001RY2,      Intellectual property products,2015_Q1,0.3,0.14,0.19,0.29,0.3,0.14,0.19,-0.16,-0.11,-0.01,0.05,0.16,0.11,0.05,0.1288,0.29,0.01,0.1,2015,1,2015-01-01
1300,37,Y001RY2,      Intellectual property products,2015_Q2,0.22,0.34,0.33,0.33,0.22,0.34,0.33,0.12,0.11,0.11,-0.01,0.12,0.11,0.01,0.1163,0.33,0.11,0.0,2015,4,2015-04-01
1301,37,Y001RY2,      Intellectual property products,2015_Q3,0.07,-0.03,-0.03,-0.03,0.07,0.03,0.03,-0.1,-0.1,-0.1,0.0,0.1,0.1,0.0,0.1125,0.03,0.1,0.0,2015,7,2015-07-01
1302,37,Y001RY2,      Intellectual property products,2015_Q4,0.07,0.05,-0.01,-0.01,0.07,0.05,0.01,-0.02,-0.08,-0.08,-0.06,0.02,0.08,0.06,0.1188,0.01,0.08,0.0,2015,10,2015-10-01
