,line,code,description,date,ADVANCE,SECOND,THIRD,current,adv_less_second,adv_less_third,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_adv_less_current,abs_third_less_current,year,month,date_t
1388,39,Y006RY2,        Research and development \5\,2013_Q2,0.07,-0.02,0.04,0.01,0.09000000000000001,0.030000000000000006,-0.06,0.09000000000000001,0.030000000000000006,0.06,0.030000000000000006,0.060000000000000005,0.03,2013,4,2013-04-01
1389,39,Y006RY2,        Research and development \5\,2013_Q3,0.04,0.04,0.08,0.06,0.0,-0.04,-0.04,0.0,0.04,0.04,0.035,0.019999999999999997,0.020000000000000004,2013,7,2013-07-01
1390,39,Y006RY2,        Research and development \5\,2013_Q4,0.06,0.01,0.09,0.03,0.049999999999999996,-0.03,-0.08,0.049999999999999996,0.03,0.08,0.03333333333333333,0.03,0.06,2013,10,2013-10-01
1391,39,Y006RY2,        Research and development \5\,2014_Q1,0.02,0.17,0.2,0.14,-0.15000000000000002,-0.18000000000000002,-0.03,0.15000000000000002,0.18000000000000002,0.03,0.07,0.12000000000000001,0.06,2014,1,2014-01-01
1392,39,Y006RY2,        Research and development \5\,2014_Q2,0.07,0.09,0.13,0.04,-0.01999999999999999,-0.06,-0.04000000000000001,0.01999999999999999,0.06,0.04000000000000001,0.068,0.030000000000000006,0.09,2014,4,2014-04-01
1393,39,Y006RY2,        Research and development \5\,2014_Q3,0.07,0.15,0.17,0.07,-0.07999999999999999,-0.1,-0.020000000000000018,0.07999999999999999,0.1,0.020000000000000018,0.07333333333333335,0.0,0.1,2014,7,2014-07-01
1394,39,Y006RY2,        Research and development \5\,2014_Q4,0.1,0.23,0.28,0.15,-0.13,-0.18000000000000002,-0.05000000000000002,0.13,0.18000000000000002,0.05000000000000002,0.08857142857142859,0.04999999999999999,0.13000000000000003,2014,10,2014-10-01
1395,39,Y006RY2,        Research and development \5\,2015_Q1,0.21,0.02,0.05,0.12,0.19,0.15999999999999998,-0.030000000000000002,0.19,0.15999999999999998,0.030000000000000002,0.0975,0.09,0.06999999999999999,2015,1,2015-01-01
1396,39,Y006RY2,        Research and development \5\,2015_Q2,0.09,0.21,0.21,0.21,-0.12,-0.12,0.0,0.12,0.12,0.0,0.10875,0.12,0.0,2015,4,2015-04-01
1397,39,Y006RY2,        Research and development \5\,2015_Q3,0.05,-0.05,-0.03,-0.03,0.1,0.08,-0.020000000000000004,0.1,0.08,0.020000000000000004,0.11374999999999999,0.08,0.0,2015,7,2015-07-01
1398,39,Y006RY2,        Research and development \5\,2015_Q4,0.04,0.03,-0.03,-0.03,0.010000000000000002,0.07,0.06,0.010000000000000002,0.07,0.06,0.11875,0.07,0.0,2015,10,2015-10-01
