,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
357,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2013_Q2,0.01,0.01,0.01,0.01,0.0,0.0,0.0,40.0,2013,4,2013-04-01
358,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2013_Q3,-0.01,-0.01,0.01,0.01,0.0,0.0,0.0,40.0,2013,7,2013-07-01
359,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2013_Q4,0.0,0.02,0.02,0.02,0.02,0.02,0.02,40.0,2013,10,2013-10-01
360,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2014_Q1,0.0,0.02,0.02,0.02,0.02,0.02,0.02,40.0,2014,1,2014-01-01
361,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2014_Q2,0.0,0.01,0.01,0.01,0.01,0.01,0.01,40.0,2014,4,2014-04-01
362,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2014_Q3,0.02,0.01,0.01,0.01,-0.01,0.01,0.01,40.0,2014,7,2014-07-01
363,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2014_Q4,0.01,0.02,0.02,0.02,0.01,0.01,0.01,40.0,2014,10,2014-10-01
364,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2015_Q1,-0.01,0.01,0.01,0.01,0.02,0.02,0.02,40.0,2015,1,2015-01-01
365,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2015_Q2,-0.01,0.01,0.01,0.01,0.02,0.02,0.02,40.0,2015,4,2015-04-01
366,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2015_Q3,0.0,0.02,0.02,0.02,0.02,0.02,0.02,40.0,2015,7,2015-07-01
367,Y020RY2,"Entertainment, literary, and artistic originals - Y020RY2",2015_Q4,-0.01,0.0,0.0,0.0,0.01,0.01,0.01,40.0,2015,10,2015-10-01
