,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
491,Y033RY2,Equipment,Computers and peripheral equipment,2004_Q1,0.12,0.08,0.08,0.08,-0.04,0.04,0.04,30.0,2004,1,2004-01-01
492,Y033RY2,Equipment,Industrial equipment,2004_Q1,0.07,0.07,0.07,0.07,0.0,0.0,0.0,30.0,2004,1,2004-01-01
493,Y033RY2,Equipment,Information processing equipment - other,2004_Q1,0.32,0.3,0.3,0.3,-0.02,0.02,0.02,30.0,2004,1,2004-01-01
494,Y033RY2,Equipment,Other equipment,2004_Q1,0.15,0.14,0.14,0.14,-0.01,0.01,0.01,30.0,2004,1,2004-01-01
495,Y033RY2,Equipment,Transportation equipment,2004_Q1,-0.01,-0.15,0.15,0.15,-0.14,0.14,0.14,30.0,2004,1,2004-01-01
496,Y033RY2,Equipment,Computers and peripheral equipment,2004_Q2,0.22,0.22,0.22,0.22,0.0,0.0,0.0,30.0,2004,4,2004-04-01
497,Y033RY2,Equipment,Industrial equipment,2004_Q2,-0.02,0.03,0.03,0.03,0.05,0.05,0.05,30.0,2004,4,2004-04-01
498,Y033RY2,Equipment,Information processing equipment - other,2004_Q2,0.19,0.2,0.2,0.2,0.01,0.01,0.01,30.0,2004,4,2004-04-01
499,Y033RY2,Equipment,Other equipment,2004_Q2,0.12,0.2,0.2,0.2,0.08,0.08,0.08,30.0,2004,4,2004-04-01
500,Y033RY2,Equipment,Transportation equipment,2004_Q2,0.11,0.28,0.28,0.28,0.17,0.17,0.17,30.0,2004,4,2004-04-01
501,Y033RY2,Equipment,Computers and peripheral equipment,2004_Q3,0.08,0.18,0.18,0.18,0.1,0.1,0.1,30.0,2004,7,2004-07-01
502,Y033RY2,Equipment,Industrial equipment,2004_Q3,0.34,0.31,0.31,0.31,-0.03,0.03,0.03,30.0,2004,7,2004-07-01
503,Y033RY2,Equipment,Information processing equipment - other,2004_Q3,0.04,0.02,0.02,0.02,-0.02,0.02,0.02,30.0,2004,7,2004-07-01
504,Y033RY2,Equipment,Other equipment,2004_Q3,0.3,0.28,0.28,0.28,-0.02,0.02,0.02,30.0,2004,7,2004-07-01
505,Y033RY2,Equipment,Transportation equipment,2004_Q3,0.3,0.41,0.41,0.41,0.11,0.11,0.11,30.0,2004,7,2004-07-01
506,Y033RY2,Equipment,Computers and peripheral equipment,2004_Q4,0.39,0.41,0.41,0.41,0.02,0.02,0.02,30.0,2004,10,2004-10-01
507,Y033RY2,Equipment,Industrial equipment,2004_Q4,0.08,0.1,0.1,0.1,0.02,0.02,0.02,30.0,2004,10,2004-10-01
508,Y033RY2,Equipment,Information processing equipment - other,2004_Q4,0.0,-0.03,0.03,0.03,-0.03,0.03,0.03,30.0,2004,10,2004-10-01
509,Y033RY2,Equipment,Other equipment,2004_Q4,0.16,0.16,0.16,0.16,0.0,0.0,0.0,30.0,2004,10,2004-10-01
510,Y033RY2,Equipment,Transportation equipment,2004_Q4,0.24,0.46,0.46,0.46,0.22,0.22,0.22,30.0,2004,10,2004-10-01
511,Y033RY2,Equipment,Computers and peripheral equipment,2005_Q1,0.41,0.41,0.41,0.41,0.0,0.0,0.0,30.0,2005,1,2005-01-01
512,Y033RY2,Equipment,Industrial equipment,2005_Q1,0.04,0.05,0.05,0.05,0.01,0.01,0.01,30.0,2005,1,2005-01-01
513,Y033RY2,Equipment,Information processing equipment - other,2005_Q1,0.24,0.21,0.21,0.21,-0.03,0.03,0.03,30.0,2005,1,2005-01-01
514,Y033RY2,Equipment,Other equipment,2005_Q1,-0.1,-0.16,0.16,0.16,-0.06,0.06,0.06,30.0,2005,1,2005-01-01
515,Y033RY2,Equipment,Transportation equipment,2005_Q1,-0.31,-0.24,0.24,0.24,0.07,0.07,0.07,30.0,2005,1,2005-01-01
516,Y033RY2,Equipment,Computers and peripheral equipment,2005_Q2,0.3,0.23,0.23,0.23,-0.07,0.07,0.07,30.0,2005,4,2005-04-01
517,Y033RY2,Equipment,Industrial equipment,2005_Q2,-0.28,-0.27,0.27,0.27,0.01,0.01,0.01,30.0,2005,4,2005-04-01
