,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
972,30,Y033RY2,      Equipment,2013_Q2,0.23,0.16,0.18,-0.04,0.07,0.05,0.27,-0.02,0.07,0.05,0.02,0.05,0.04,0.27,0.22,2013,4,2013-04-01
973,30,Y033RY2,      Equipment,2013_Q3,-0.21,0.0,0.02,-0.22,-0.21,-0.23,0.01,-0.02,0.21,0.23,0.02,0.14,0.22,0.01,0.24,2013,7,2013-07-01
974,30,Y033RY2,      Equipment,2013_Q4,0.38,0.56,0.58,0.8,-0.18,-0.2,-0.42,-0.02,0.18,0.2,0.02,0.16,0.8,0.42,0.22,2013,10,2013-10-01
975,30,Y033RY2,      Equipment,2014_Q1,-0.32,-0.18,-0.16,0.2,-0.14,-0.16,-0.52,-0.02,0.14,0.16,0.02,0.16,0.2,0.52,0.36,2014,1,2014-01-01
976,30,Y033RY2,      Equipment,2014_Q2,0.4,0.59,0.63,0.38,-0.19,-0.23,0.02,-0.04,0.19,0.23,0.04,0.17,0.38,0.02,0.25,2014,4,2014-04-01
977,30,Y033RY2,      Equipment,2014_Q3,0.41,0.61,0.63,0.92,-0.2,-0.22,-0.51,-0.02,0.2,0.22,0.02,0.18,0.92,0.51,0.29,2014,7,2014-07-01
978,30,Y033RY2,      Equipment,2014_Q4,-0.11,0.05,0.04,-0.3,-0.16,-0.15,0.19,0.01,0.16,0.15,0.01,0.18,0.3,0.19,0.34,2014,10,2014-10-01
979,30,Y033RY2,      Equipment,2015_Q1,0.0,0.16,0.15,0.14,-0.16,-0.15,-0.14,0.01,0.16,0.15,0.01,0.17,0.14,0.14,0.01,2015,1,2015-01-01
980,30,Y033RY2,      Equipment,2015_Q2,-0.25,-0.02,0.03,0.03,-0.23,-0.28,-0.28,-0.05,0.23,0.28,0.05,0.2,0.03,0.28,0.0,2015,4,2015-04-01
981,30,Y033RY2,      Equipment,2015_Q3,0.31,0.55,0.57,0.57,-0.24,-0.26,-0.26,-0.02,0.24,0.26,0.02,0.21,0.57,0.26,0.0,2015,7,2015-07-01
982,30,Y033RY2,      Equipment,2015_Q4,-0.15,-0.11,-0.12,-0.12,-0.04,-0.03,-0.03,0.01,0.04,0.03,0.01,0.18,0.12,0.03,0.0,2015,10,2015-10-01
