,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,second_less_adv,third_less_adv,current_less_adv,third_less_second,abs_second_less_adv,abs_third_less_adv,abs_third_less_second,abs_two_year,abs_current,abs_current_less_adv,abs_current_less_third,year,month,date_t
1004,31,Y034RY2,        Information processing equipment,2013_Q2,0.19,0.15,0.16,-0.05,-0.04,-0.03,-0.24,0.01,0.04,0.03,0.01,0.03,0.05,0.24,0.21,2013,4,2013-04-01
1005,31,Y034RY2,        Information processing equipment,2013_Q3,-0.07,0.03,0.03,0.1,0.1,0.1,0.17,0.0,0.1,0.1,0.0,0.06,0.1,0.17,0.07,2013,7,2013-07-01
1006,31,Y034RY2,        Information processing equipment,2013_Q4,-0.11,-0.01,-0.01,-0.1,0.1,0.1,0.01,0.0,0.1,0.1,0.0,0.08,0.1,0.01,0.09,2013,10,2013-10-01
1007,31,Y034RY2,        Information processing equipment,2014_Q1,-0.27,-0.19,-0.19,0.08,0.08,0.08,0.35,0.0,0.08,0.08,0.0,0.08,0.08,0.35,0.27,2014,1,2014-01-01
1008,31,Y034RY2,        Information processing equipment,2014_Q2,0.33,0.4,0.4,0.28,0.07,0.07,-0.05,0.0,0.07,0.07,0.0,0.08,0.28,0.05,0.12,2014,4,2014-04-01
1009,31,Y034RY2,        Information processing equipment,2014_Q3,-0.21,-0.13,-0.12,-0.14,0.08,0.09,0.07,0.01,0.08,0.09,0.01,0.08,0.14,0.07,0.02,2014,7,2014-07-01
1010,31,Y034RY2,        Information processing equipment,2014_Q4,0.25,0.31,0.31,0.32,0.06,0.06,0.07,0.0,0.06,0.06,0.0,0.08,0.32,0.07,0.01,2014,10,2014-10-01
1011,31,Y034RY2,        Information processing equipment,2015_Q1,-0.14,-0.18,-0.19,-0.07,-0.04,-0.05,0.07,-0.01,0.04,0.05,0.01,0.07,0.07,0.07,0.12,2015,1,2015-01-01
1012,31,Y034RY2,        Information processing equipment,2015_Q2,-0.26,-0.09,-0.08,-0.08,0.17,0.18,0.18,0.01,0.17,0.18,0.01,0.09,0.08,0.18,0.0,2015,4,2015-04-01
1013,31,Y034RY2,        Information processing equipment,2015_Q3,0.28,0.42,0.43,0.43,0.14,0.15,0.15,0.01,0.14,0.15,0.01,0.1,0.43,0.15,0.0,2015,7,2015-07-01
1014,31,Y034RY2,        Information processing equipment,2015_Q4,0.12,0.05,0.04,0.04,-0.07,-0.08,-0.08,-0.01,0.07,0.08,0.01,0.1,0.04,0.08,0.0,2015,10,2015-10-01
