,date,est,date_pub,code,line,value,description
0,2004_Q1,ADVANCE,2004-04-29,A191RL1,1,4.2,    Gross domestic product
1,2004_Q1,SECOND,2004-05-27,A191RL1,1,4.4,    Gross domestic product
2,2004_Q1,THIRD,2004-06-25,A191RL1,1,3.9,    Gross domestic product
3,2004_Q2,ADVANCE,2004-07-30,A191RL1,1,3.0,    Gross domestic product
4,2004_Q2,SECOND,2004-08-27,A191RL1,1,2.8,    Gross domestic product
5,2004_Q2,THIRD,2004-09-29,A191RL1,1,3.3,    Gross domestic product
6,2004_Q3,ADVANCE,2004-10-29,A191RL1,1,3.7,    Gross domestic product
7,2004_Q3,SECOND,2004-11-30,A191RL1,1,3.9,    Gross domestic product
8,2004_Q3,THIRD,2004-12-22,A191RL1,1,4.0,    Gross domestic product
9,2004_Q4,ADVANCE,2005-01-28,A191RL1,1,3.1,    Gross domestic product
10,2004_Q4,SECOND,2005-02-25,A191RL1,1,3.8,    Gross domestic product
11,2004_Q4,THIRD,2005-03-30,A191RL1,1,3.8,    Gross domestic product
12,2005_Q1,ADVANCE,2005-04-28,A191RL1,1,3.1,    Gross domestic product
13,2005_Q1,SECOND,2005-05-26,A191RL1,1,3.5,    Gross domestic product
14,2005_Q1,THIRD,2005-06-29,A191RL1,1,3.8,    Gross domestic product
15,2005_Q2,ADVANCE,2005-07-29,A191RL1,1,3.4,    Gross domestic product
16,2005_Q2,SECOND,2005-08-31,A191RL1,1,3.3,    Gross domestic product
17,2005_Q2,THIRD,2005-09-29,A191RL1,1,3.3,    Gross domestic product
18,2005_Q3,ADVANCE,2005-10-28,A191RL1,1,3.8,    Gross domestic product
19,2005_Q3,SECOND,2005-11-30,A191RL1,1,4.3,    Gross domestic product
20,2005_Q3,THIRD,2005-12-21,A191RL1,1,4.1,    Gross domestic product
21,2005_Q4,ADVANCE,2006-01-27,A191RL1,1,1.1,    Gross domestic product
22,2005_Q4,SECOND,2006-02-28,A191RL1,1,1.6,    Gross domestic product
23,2005_Q4,THIRD,2006-03-30,A191RL1,1,1.7,    Gross domestic product
24,2006_Q1,ADVANCE,2006-04-28,A191RL1,1,4.8,    Gross domestic product
25,2006_Q1,SECOND,2006-05-25,A191RL1,1,5.3,    Gross domestic product
26,2006_Q1,THIRD,2006-06-29,A191RL1,1,5.6,    Gross domestic product
27,2006_Q2,ADVANCE,2006-07-28,A191RL1,1,2.5,    Gross domestic product
28,2006_Q2,SECOND,2006-08-30,A191RL1,1,2.9,    Gross domestic product
29,2006_Q2,THIRD,2006-09-28,A191RL1,1,2.6,    Gross domestic product
30,2006_Q3,ADVANCE,2006-10-27,A191RL1,1,1.6,    Gross domestic product
31,2006_Q3,SECOND,2006-11-29,A191RL1,1,2.2,    Gross domestic product
32,2006_Q3,THIRD,2006-12-21,A191RL1,1,2.0,    Gross domestic product
33,2006_Q4,ADVANCE,2007-01-27,A191RL1,1,3.5,    Gross domestic product
34,2006_Q4,SECOND,2007-02-28,A191RL1,1,2.2,    Gross domestic product
35,2006_Q4,THIRD,2007-03-30,A191RL1,1,2.5,    Gross domestic product
36,2007_Q1,ADVANCE,2007-04-27,A191RL1,1,1.3,    Gross domestic product
37,2007_Q1,SECOND,2007-05-31,A191RL1,1,0.6,    Gross domestic product
38,2007_Q1,THIRD,2007-06-28,A191RL1,1,0.7,    Gross domestic product
39,2007_Q2,ADVANCE,2007-07-27,A191RL1,1,3.4,    Gross domestic product
40,2007_Q2,SECOND,2007-08-30,A191RL1,1,4.0,    Gross domestic product
41,2007_Q2,THIRD,2007-09-27,A191RL1,1,3.8,    Gross domestic product
42,2007_Q3,ADVANCE,2007-10-31,A191RL1,1,3.9,    Gross domestic product
43,2007_Q3,SECOND,2007-11-29,A191RL1,1,4.9,    Gross domestic product
44,2007_Q3,THIRD,2007-12-20,A191RL1,1,4.9,    Gross domestic product
45,2007_Q4,ADVANCE,2008-01-30,A191RL1,1,0.6,    Gross domestic product
46,2007_Q4,SECOND,2008-02-28,A191RL1,1,0.6,    Gross domestic product
47,2007_Q4,THIRD,2008-03-27,A191RL1,1,0.6,    Gross domestic product
48,2008_Q1,ADVANCE,2008-04-30,A191RL1,1,0.6,    Gross domestic product
49,2008_Q1,SECOND,2008-05-29,A191RL1,1,0.9,    Gross domestic product
